name est_rate est_power online_rate online_power offline_rate offline_power
BACKPROP 0.771058764262823 0.895296520615071 0.793659642941318 0.88853479588913 0.264874171013116 0.871696167660306
BFS 0.833161525241082 0.880917011291798 0.89816046871771 0.842732751301944 0.614397333538932 0.854343714926435
BLACKSCHOLES_10M 0.884431894083996 0.976967921183142 0.716508918642902 0.953515577303971 0.706635194256086 0.969967547832334
BODYTRACK 0.964891744851987 0.98511707501812 0.927940874453733 0.935257012719958 0.88729624940431 0.974458133645282
FACESIM 0.966740724575488 0.981522011269845 0.922812084967681 0.931806855075173 0.950929464979959 0.957783334569369
FERRET 0.955840904860908 0.959801221962807 0.887610334095818 0.943588455079607 0.830100147824753 0.964108924451044
HEARTWALL 0.948556343232233 0.968385685981685 0.825249446195323 0.948526145579598 0.838518869311128 0.970440352226624
HOTSPOT 0.854953134846839 0.87697976490133 0.929045092906887 0.873133190562595 0.688650531238791 0.850548538488129
JACOBI 0.906308649670095 0.962809545565896 0.86948425501969 0.925665432287013 0.821094202692963 0.920975277035422
KMEANS 0.955479077420412 0.976791150401306 0.898507304440875 0.930031471591013 0.797726338102283 0.963619011641192
KMEANSNF 0.925477488454958 0.975449118959137 0.815100654810277 0.930474068561233 0.834506272638454 0.971162003010654
LAVAMD 0.791986958574954 0.963799809022131 0.575333575127237 0.962558768877511 0.684117002063591 0.944591570190874
LEUKOCYTE 0.927223681752402 0.95322718916714 0.761638197456482 0.897852290263474 0.915311783858128 0.96300746208605
LUD 0.738306769071559 0.714212600555147 -0.149045225884971 0.709990919679893 0.0799116405269411 0.686077947867427
NW 0.910015191747995 0.965847699095993 0.917898327315283 0.913158778330862 0.819145707789262 0.929071665660271
SHA 0.952662536634325 0.983457933452356 0.924825803131614 0.936426889782721 0.863330592335948 0.972343300577034
SRAD 0.700280480074919 0.57945830295999 0.297713184952361 0.480523809105839 0.234310704077449 0.467958929476782
STREAM_threads 0.704983874371179 0.976756961841595 0.380797412832059 0.881720832533044 0.245337623721401 0.972827660483429
X264_ducks 0.961976739941133 0.933145158786004 0.860219150191631 0.898314316933722 0.876953230502712 0.937587476796034
X264_native 0.960830851812463 0.956782613479892 0.889625390230827 0.939898904005105 0.850801792257367 0.963149826395843
Average 0.880758367 0.923336265 0.747154245 0.886185563 0.690197443 0.905285942
