sample_size HBM_rate HBM_power online_rate online_power offline_rate offline_power nuclear_rate nuclear_power
1 0.7210308096482 0.88965923530004 0 0 0.701803412958694 0.890289406435347 0 0
2 0.717179277764746 0.889889200369826 0 0 0.701803412958694 0.890289406435347 0 0
3 0.77470925248057 0.893085095490353 0 0 0.701803412958694 0.890289406435347 0 0
4 0.741674539522873 0.895335254496172 0 0 0.701803412958694 0.890289406435347 0 0
5 0.816142379090719 0.895792183856045 0 0 0.701803412958694 0.890289406435347 0 0
6 0.78019276509217 0.895460477148291 0 0.348604910283955 0.701803412958694 0.890289406435347 0 0.0036927728085128
7 0.840171376792293 0.900537084846659 0.351248279327405 0.234823212874754 0.701803412958694 0.890289406435347 0 0
8 0.839619673378553 0.918745229701417 0 0.339913677807013 0.701803412958694 0.890289406435347 0.00658300607608598 0.0995118513982153
9 0.849424556161574 0.902491189638452 0.761817907502127 0.867335967735114 0.701803412958694 0.890289406435347 0.0108863910906105 0.119432636060455
10 0.872404745076493 0.928793915394428 0.775886068807248 0.876278204311161 0.701803412958694 0.890289406435347 0.191264773083417 0.530056194810796
11 0.840589041467646 0.902234752507525 0.836167956563076 0.888389443134775 0.701803412958694 0.890289406435347 0.218668740725046 0.373510317361944
12 0.855634728935161 0.909834311569933 0.852763342012135 0.797175778804528 0.701803412958694 0.890289406435347 0.285762805431758 0.369264896542671
13 0.85717827692639 0.910130731285745 0.838060415664389 0.847765140046986 0.701803412958694 0.890289406435347 0.274425879308772 0.245818709792118
14 0.852432895232281 0.915742663630352 0.857663732968655 0.917048319504022 0.701803412958694 0.890289406435347 0.484812269840786 0.276433328299048
15 0.897962415128357 0.926370473646628 0.842849193962009 0.61661467842897 0.701803412958694 0.890289406435347 0 0.0458851910632721
16 0.855685737806713 0.908399926401837 0.783507767119466 0.870892215133466 0.701803412958694 0.890289406435347 0 0
17 0.895910972360322 0.92831051699478 0.468932763014333 0.601579986408607 0.701803412958694 0.890289406435347 0 0.0958026873170086
18 0.895517139882477 0.935444019262891 0.705008449651002 0.8664165696915 0.701803412958694 0.890289406435347 0.393227646537233 0.560413154202285
19 0.884137354701761 0.922530171906938 0.88446224964233 0.914746081524463 0.701803412958694 0.890289406435347 0.582847774328737 0.615207965643791
20 0.89807901134299 0.938262262670799 0.887503740662815 0.926680485917832 0.701803412958694 0.890289406435347 0.608994597495648 0.674303869087002
21 0.900162944367789 0.927167372025105 0.859571374027195 0.914396597377622 0.701803412958694 0.890289406435347 0.503440163671747 0.262570500467919
22 0.918389468869033 0.946173561885803 0.88554716856354 0.920921773810063 0.701803412958694 0.890289406435347 0.705904687209267 0.873244491281725
23 0.909696329716589 0.938226603288092 0.882359690313367 0.922901288122058 0.701803412958694 0.890289406435347 0.844506004160326 0.902216596757746
24 0.901971351649012 0.921557679505218 0.869427458629632 0.915404940697477 0.701803412958694 0.890289406435347 0.733599882366431 0.751294814470626
25 0.910371865822648 0.928484488339077 0.858885898146147 0.925383068244867 0.701803412958694 0.890289406435347 0.828233131594535 0.929724310405358
26 0.907183348302529 0.926691969458019 0.871386462357244 0.916038965893112 0.701803412958694 0.890289406435347 0.809195010128981 0.920527845168376
27 0.897822383960751 0.916440228458015 0.826694138783463 0.910819864243885 0.701803412958694 0.890289406435347 0.430977639724178 0.0996758230977362
28 0.920952171777575 0.946363595432974 0.878487249079781 0.91146180244814 0.701803412958694 0.890289406435347 0.799650913857069 0.84168852905407
29 0.883130366611789 0.914404377083259 0.764549661401936 0.777082803051004 0.701803412958694 0.890289406435347 0 0
30 0.916188527599891 0.938300887776186 0.871966848027449 0.922113430991043 0.701803412958694 0.890289406435347 0.691461953301898 0.773340539839527
31 0.916949940371254 0.932004748079562 0.864178864314077 0.917535929802745 0.701803412958694 0.890289406435347 0.568010000326756 0.21091142753226
32 0.926779309503469 0.947111038586579 0.885263528598319 0.926270437445539 0.701803412958694 0.890289406435347 0.815574349753685 0.911399579879541
33 0.920953208719295 0.954558693171266 0.860820269697248 0.911223396092979 0.701803412958694 0.890289406435347 0.892292717549055 0.940106465677959
34 0.92890297619609 0.953625480599623 0.87522814105041 0.917756192909843 0.701803412958694 0.890289406435347 0.84793116443824 0.930901931513299
35 0.924442722007133 0.952397117192789 0.867765069279007 0.929562568150369 0.701803412958694 0.890289406435347 0.832069080461033 0.938192610515763
36 0.93251051258173 0.931488403914555 0.887854752015999 0.921208958189186 0.701803412958694 0.890289406435347 0.912990502083186 0.938258191027825
37 0.936823028500256 0.948912528412993 0.878391985180746 0.929566835170131 0.701803412958694 0.890289406435347 0.905281330288665 0.924075200677234
38 0.933516853963521 0.946147403586104 0.875574742920109 0.921251315315035 0.701803412958694 0.890289406435347 0.866565727990971 0.933325537098024
39 0.940800717227296 0.956309152176973 0.889923149817032 0.931631027563609 0.701803412958694 0.890289406435347 0.904679840058092 0.9467358520337
40 0.939815728334888 0.947866953360845 0.875957617011517 0.924061951383728 0.701803412958694 0.890289406435347 0.926157536353985 0.954253702749287
41 0.936772865651338 0.943169948966942 0.876333941240305 0.926344027458105 0.701803412958694 0.890289406435347 0.876862315872431 0.881157932990942
42 0.942864099452178 0.94450529030116 0.889492027397674 0.925580858096246 0.701803412958694 0.890289406435347 0.938665849685101 0.949003694683162
43 0.942281086829705 0.93519216645885 0.829932668883081 0.894660285306285 0.701803412958694 0.890289406435347 0.920384505899413 0.936214019757241
44 0.932885500158058 0.945675124904517 0.881489266667516 0.926981342651296 0.701803412958694 0.890289406435347 0.927708257988074 0.951951769895281
45 0.93483409584419 0.944445884645995 0.889651831596334 0.929521089489622 0.701803412958694 0.890289406435347 0.901057905361397 0.940755812821616
46 0.950721551009348 0.965334894279413 0.885053740497397 0.927248421333618 0.701803412958694 0.890289406435347 0.95576625683244 0.973958274201298
47 0.936986646987859 0.940860712080817 0.88669173825563 0.925711319333951 0.701803412958694 0.890289406435347 0.904128828662118 0.961717511761317
