Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 15.3381 35.8916 10.3663 36.1084 12.6149 7.52188
BFS 0 3.86967 17.3777 3.99168 39.3902 9.90625 4.66518
BLACKSCHOLES_10M 0 67.2029 64.375 2.21816 71.3707 38.0783 15.9999
BODYTRACK 0 4.34107 3.99704 8.03143 23.0556 8.64598 4.17176
FACESIM 0 14.735 14.6643 19.7246 24.0508 17.2458 5.55074
FERRET 0 18.2664 0 8.96359 20.7049 6.20239 3.52524
HEARTWALL 0 37.4015 27.8459 33.7527 42.6884 19.1865 5.87522
HOTSPOT 0 3.19582 18.2785 4.10182 35.0478 4.95283 4.65653
JACOBI 0 31.5503 32.1312 20.9193 20.6221 13.3719 10.5709
KMEANS 0 13.0159 0.633781 2.03451 17.6127 12.4072 3.40038
KMEANSNF 0 31.4005 45.4579 28.2952 32.8362 14.7864 7.41903
LAVAMD 0 68.9489 77.2222 23.4137 83.5062 40.4888 32.4686
LEUKOCYTE 0 19.9878 39.2005 19.9625 53.9125 12.1148 10.5722
LUD 0 0 9.34976 9.27917 93.9231 10.1649 7.15306
NW 0 1.27202 20.4758 20.3983 37.9233 10.1708 5.88336
SHA 0 4.46565 6.63672 10.3643 32.3299 8.27319 3.77304
SRAD 0 24.8066 16.8367 11.4209 19.0143 13.9768 8.83376
STREAM 0 1.23753 29.8111 7.27971 24.5335 11.6969 12.0387
STREAM_threads 0 33.8675 43.6658 1.2285 31.8075 13.7813 14.847
X264_ducks 0 16.6959 2.77553 12.0418 20.5076 10.0314 4.16442
X264_native 0 15.0716 1.03846 10.2045 20.6242 8.64897 3.72763
AVERAGE 0 19.3941 23.0757 12.1815 35.5259 13.4885 8.03721
