Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 0.953371 0 31.3769 6.70322 6.70322 43.3752 43.3984 18.8304 0 6.03513 4.97102
BFS 0 5.48625 4.07488 14.8233 33.4902 20.6711 33.5215 33.5215 12.4299 4.33675 15.7876 4.53315
BLACKSCHOLES_10M 0 0 0 0 12.1384 0 0 0 0 6.58145 9.27847 0
BODYTRACK 0 0 6.49183 0 35.9388 0 4.57669 4.5882 5.22746 31.4734 26.1066 23.5524
FACESIM 0 0 0 0 44.5579 0 10.3569 10.3584 0 39.3233 41.8011 2.91015
FERRET 0 0 14.94 0 25.9654 0 4.99344 5.00109 0 21.1155 22.0021 12.2925
HEARTWALL 0 0 7.13402 0 26.8588 0 4.84054 4.85267 0 22.2813 19.5883 1.93598
HOTSPOT 0 23.6272 2.68304 13.3397 27.4752 13.3397 27.1015 27.1009 11.4977 2.49522 15.8769 2.60043
JACOBI 0 9.69497 8.84804 45.4822 9.6704 9.67134 57.2605 57.7943 25.2567 29.1372 9.51979 9.94262
KMEANS 0 0 10.4688 0 17.7686 0 0 0 0 11.5606 12.6707 11.5723
KMEANSNF 0 0 58.248 1.81768 58.248 37.0475 39.1701 40.1037 4.22258 54.5377 53.548 9.21521
LAVAMD 0 36.1262 62.5004 68.9497 82.4851 68.155 75.6255 75.6255 55.2254 78.1605 81.2157 54.3151
LEUKOCYTE 0 1.9908 51.8239 51.8235 70.5773 51.8318 63.4969 63.5027 19.1735 56.1172 36.5698 13.045
LUD 0 0 89.3725 0 89.3725 89.3725 12.991 91.0055 0 0 0 14.2885
NW 0 18.4243 6.88833 18.3498 61.1625 18.3065 35.7536 35.7536 15.0622 0.517873 59.1906 5.19912
SHA 0 8.18008 15.5029 0 41.3699 0.384725 14.4162 14.4203 7.71402 37.856 31.5467 29.7431
SRAD 0 6.54244 6.40399 14.2579 69.2235 26.0784 30.0335 50.1887 6.84098 24.7078 15.9203 32.7098
STREAM 0 20.2592 0.19706 43.0504 20.09 20.0903 52.9234 53.7269 13.7253 22.1503 12.242 9.10865
STREAM_threads 0 0.417598 34.5001 62.2656 100 29.3644 71.9957 72.0135 17.0333 14.3218 100 16.9013
X264_ducks 0 0 10.3321 0 17.1988 0 2.32489 2.33182 0 11.848 12.9879 0
X264_native 0 0 16.2285 0 23.7162 0 4.37519 4.37959 0 18.7738 19.5911 18.9033
AVERAGE 0 6.27154 19.3637 17.4065 41.6196 18.6198 28.0539 32.8413 10.1066 23.2046 28.6418 13.2257
