Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 3.98777 9.75304 27.8049 19.7978 8.63497 42.1173 42.2507 7.51843 7.99379 11.4153 6.44371
BFS 0 1.74814 0 20.8443 8.59461 0 40.5748 40.5748 9.0823 0 8.10947 3.90812
BLACKSCHOLES_10M 0 1.4658 66.598 63.4843 80.4742 66.5985 72.9774 72.9785 53.177 72.7447 55.1906 45.8467
BODYTRACK 0 13.5026 2.81718 0.616518 47.19 4.4979 27.0219 27.0238 10.4904 26.1355 27.2368 3.7055
FACESIM 0 3.19967 8.96848 8.95611 56.1986 12.6774 25.9408 25.9384 15.2476 25.6884 20.8486 5.88611
FERRET 0 5.33608 13.4359 0 40.8067 5.09611 20.9583 20.9664 8.80023 20.2238 20.739 2.65183
HEARTWALL 0 16.8659 21.1818 7.47591 49.3194 16.7791 31.4017 31.4139 10.9788 30.1266 30.6909 12.1794
HOTSPOT 0 3.49351 0 15.7325 3.319 0 35.9922 36 5.43819 0.282113 4.56342 4.09119
JACOBI 0 18.595 31.816 35.9819 19.2426 19.2503 24.503 28.2221 15.3042 48.5252 14.9998 15.8138
KMEANS 0 0 10.7536 0 41.0918 0 19.3065 19.3142 11.6286 18.6521 21.5661 2.9635
KMEANSNF 0 17.1619 26.8336 36.4758 68.8498 20.3017 24.9514 54.2067 10.7045 27.016 21.1441 9.41536
LAVAMD 0 3.77041 75.9574 80.3763 20.8025 20.7892 85.4255 85.4284 46.5681 85.3271 40.1352 37.5285
LEUKOCYTE 0 17.9365 17.5166 40.1168 17.6926 17.6948 52.1737 53.2656 13.9725 51.1334 15.229 13.8323
LUD 0 9.84001 0 5.17854 92.3704 26.4859 22.8725 93.5409 8.34668 0 1.72841 15.2061
NW 0 23.4022 0.909117 18.9714 10.9147 10.9151 41.8198 41.8182 8.75606 2.12828 8.82437 6.97016
SHA 0 17.0499 4.58751 5.30901 47.3935 8.83032 31.4332 31.4219 8.89951 1.0423 27.2408 3.83268
SRAD 0 7.54218 21.9812 7.17877 7.46854 7.47072 20.6444 20.8038 11.1017 9.66814 7.25154 9.91041
STREAM 0 0 0.14305 32.492 19.9029 6.75574 28.1136 31.6515 11.3452 0.519246 11.5918 10.8903
STREAM_threads 0 0.779666 34.2981 47.9608 100 0.346489 33.9224 40.4902 14.6625 14.1111 100 14.517
X264_ducks 0 5.0498 17.3358 0 42.4569 10.0012 19.5699 19.6183 10.8686 18.9492 22.0683 3.02607
X264_native 0 7.00911 11.9655 0 42.3521 6.7023 20.4011 20.2912 8.76771 19.464 21.7993 2.84666
AVERAGE 0 8.46363 17.9453 21.6646 39.8209 12.8489 34.3867 39.8676 14.3647 22.8443 23.4463 11.0222
