Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 7.42863 20.0939 15.6447 0.473315 22.7209 19.1813
BFS 0 0 1.84241 1.88435 29.3984 10.4571 8.36927
BLACKSCHOLES_10M 0 70.6057 20.8827 16.2351 0.758121 28.0335 27.26
BODYTRACK 0 20.1469 0 0 34.1402 14.5899 11.2167
FACESIM 0 30.5125 9.51202 9.59429 15.1872 12.462 11.0164
FERRET 0 18.3846 0 19.7561 21.1934 7.30421 8.29104
HEARTWALL 0 54.3239 16.8436 10.9455 55.3837 22.6655 18.4036
HOTSPOT 0 21.3176 19.3783 19.3641 36.2291 12.9465 9.89605
JACOBI 0 28.5357 27.1401 19.2692 16.1525 13.966 14.1395
KMEANS 0 12.8666 0 27.8475 25.1812 9.72143 8.58039
KMEANSNF 0 57.5697 9.78128 6.05723 62.6317 22.995 21.5548
LAVAMD 0 63.2478 47.2986 22.3227 22.914 37.1992 37.0908
LEUKOCYTE 0 25.3232 9.50968 25.3141 33.503 15.7792 14.4332
LUD 0 43.8918 6.98085 2.47136 38.5514 24.7698 17.6987
NW 0 25.3529 11.6833 7.50782 33.6845 14.655 11.3345
SHA 0 13.9275 0 0 32.5273 9.95562 10.4091
SRAD 0 32.5492 22.6332 21.7193 31.3912 20.5825 18.5698
STREAM 0 0.437653 70.5193 0.392808 29.738 14.203 14.5185
STREAM_threads 0 30.9211 40.5257 0.141461 25.1542 17.4622 17.4045
X264_ducks 0 28.1097 0 0 25.8212 12.5589 9.78461
X264_native 0 20.1863 0 0 21.1474 7.43175 8.46355
AVERAGE 0 27.529 15.2102 10.294 26.871 16.0209 14.4371
