Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 7.47466 5.58284 5.88452 0.0139205 10.8616 2.37019
BFS 0 16.887 9.78809 10.0778 0.145632 11.432 1.96328
BLACKSCHOLES_10M 0 23.2747 3.45416 4.51708 1.62286 11.3487 1.8981
BODYTRACK 0 10.1418 16.2939 12.3005 0.155421 10.0071 0.417414
FACESIM 0 32.7581 13.5438 14.0578 0.048972 10.3096 1.02079
FERRET 0 25.5833 25.569 18.3338 0.118888 9.78988 0.603914
HEARTWALL 0 19.6826 6.77958 7.59952 0.135352 10.4642 1.07362
HOTSPOT 0 8.37997 9.21446 9.06515 0.168005 11.0502 2.17827
JACOBI 0 44.9068 17.862 5.59059 0.105808 10.9038 2.07844
KMEANS 0 15.38 25.6346 22.2468 0.131802 9.60103 0.607327
KMEANSNF 0 18.7313 7.35451 8.13491 7.32277 9.88733 1.30154
LAVAMD 0 57.4125 1.75886 2.25753 24.5175 11.4721 2.679
LEUKOCYTE 0 8.55737 9.10881 8.42309 0.0546785 10.5588 1.16301
LUD 0 23.871 9.60052 8.93267 0.241152 11.6424 4.08576
NW 0 8.79591 9.33792 9.75718 0.0777505 10.0069 1.09979
SHA 0 10.007 21.8974 17.7537 0.172511 8.84642 0.477226
SRAD 0 8.36186 16.6602 1.72348 0.077971 11.5725 2.30807
STREAM 0 1.14633 71.7206 0.796058 7.35851 16.3729 5.10784
STREAM_threads 0 24.8325 20.1014 0.706076 0.78536 12.3395 3.02166
X264_ducks 0 12.5252 14.6773 11.2401 0.105287 10.2857 0.630907
X264_native 0 16.3492 18.2634 15 0.114701 9.51617 0.626732
AVERAGE 0 17.9572 15.1911 8.83629 1.97613 10.3759 1.66877
