Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 5.02734 28.4063 8.77933 51.8085 11.049 5.68214
BFS 0 4.57496 16.8594 0 45.2087 8.96074 3.7415
BLACKSCHOLES_10M 0 67.5979 63.3451 66.9423 75.8008 59.9902 10.8183
BODYTRACK 0 15.3011 0 8.36318 33.4084 13.3027 2.92337
FACESIM 0 11.6819 3.71458 11.6199 18.9792 11.6819 3.44522
FERRET 0 11.6893 0 2.51182 27.8161 6.67286 2.27315
HEARTWALL 0 11.5107 0 7.43045 31.3007 7.24773 1.97292
HOTSPOT 0 1.87168 17.8063 18.0335 42.1818 8.87089 3.68294
JACOBI 0 31.4392 42.1497 20.3316 24.7183 20.8995 9.92019
KMEANS 0 11.5471 0 0 23.5914 12.2056 1.67728
KMEANSNF 0 49.0075 9.71429 17.8214 22.5747 12.9077 4.4544
LAVAMD 0 76.5987 80.988 81.008 87.8518 59.8336 27.7513
LEUKOCYTE 0 17.9393 49.3267 49.3215 63.3026 14.5584 9.58118
LUD 0 91.8675 5.46829 36.6267 93.093 7.45135 4.37127
NW 0 0 19.5643 5.69785 53.269 16.0416 3.7632
SHA 0 7.98341 4.52821 13.4194 35.6544 12.0333 3.06519
SRAD 0 6.96434 10.8985 5.83571 61.3873 11.6954 5.78368
STREAM 0 0.970433 37.3662 11.6555 31.0085 10.5145 11.395
STREAM_threads 0 35.0992 54.1438 1.55318 33.7457 15.6588 13.3942
X264_ducks 0 17.0108 0 8.79006 34.0321 13.0735 2.47746
X264_native 0 12.477 0 4.33242 30.3586 7.55881 1.97809
AVERAGE 0 22.1891 20.1945 17.2761 41.8678 15.5549 6.09782
