Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 2.05819 0 32.0241 13.2186 7.81354 47.1164 47.2392 15.0803 0 9.14088 5.55638
BFS 0 19.6294 3.28968 14.3487 37.2271 14.4779 36.4477 36.4477 10.4328 3.35541 10.1192 5.65568
BLACKSCHOLES_10M 0 9.61531 14.2997 3.09508 46.2703 9.5341 26.9046 26.9154 16.4336 42.6468 43.7852 19.0049
BODYTRACK 0 0 11.5041 0 44.6179 0 17.2141 17.2202 11.5761 40.9229 34.4962 3.39153
FACESIM 0 0 0.300962 0 52.8699 0.298362 23.3678 23.3671 3.75455 47.9232 37.705 3.7461
FERRET 0 0 14.765 0 31.8414 0 12.2694 12.2713 1.81716 27.1462 19.9186 2.12246
HEARTWALL 0 0 1.9554 0 35.7181 0 16.1421 16.1434 0 31.4171 23.755 2.39787
HOTSPOT 0 21.5386 1.64626 13.371 31.9412 13.371 31.061 31.0628 11.7509 0 13.1828 3.29798
JACOBI 0 14.2498 28.9352 44.747 15.4994 15.5026 58.0493 58.5801 24.7406 42.8042 11.6188 10.7773
KMEANS 0 0 0 0 25.0889 0 0 0 1.3903 19.1257 16.3244 5.7495
KMEANSNF 0 3.20364 54.4356 2.87005 62.0887 10.9077 45.2833 46.4683 6.20591 59.408 57.9296 5.69644
LAVAMD 0 0 78.8751 80.6512 90.552 80.6512 86.7793 86.7901 68.3592 88.2231 89.3255 62.9669
LEUKOCYTE 0 1.01442 37.6419 49.4333 71.403 49.4345 63.8644 63.9207 17.1267 55.6357 24.1947 14.3231
LUD 0 4.29713 90.9694 0 90.963 90.963 24.5007 92.3488 1.06058 0 0 26.264
NW 0 0.770975 0.726086 17.4066 64.761 17.4066 41.4947 41.4938 15.0345 0.0416493 57.5572 7.34925
SHA 0 9.81274 16.9491 0 46.8903 4.74627 22.0766 22.0884 7.31594 43.6382 36.8259 3.18283
SRAD 0 4.4708 4.40897 13.8434 70.0804 21.3469 30.1418 51.7403 7.23507 27.0642 7.28801 28.351
STREAM 0 0 0.533818 40.4775 20.4763 20.4779 50.3987 51.4718 14.8136 20.9726 9.23134 9.45699
STREAM_threads 0 0.204664 34.9027 58.2645 100 29.9542 72.2966 72.0119 17.1488 14.9223 100 12.8381
X264_ducks 0 0 23.6305 0 33.1584 0 19.3933 19.3929 8.88827 28.5331 29.8476 1.46904
X264_native 0 0 6.9699 0 30.8116 0 13.0531 13.0541 0.53537 26.1958 27.2242 1.84777
AVERAGE 0 4.32694 20.3209 17.6444 48.3561 18.4231 35.1359 39.5252 12.4143 29.5227 31.4033 11.2117
