Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 2.74684 4.58436 27.1248 14.936 8.0388 47.6357 47.7904 10.5128 0.0731311 10.3087 4.98618
BFS 0 23.5426 4.23895 15.7422 4.0693 0 39.146 39.146 6.31561 1.7512 5.5578 4.86381
BLACKSCHOLES_10M 0 0 60.7197 55.745 76.652 59.8906 67.9015 67.9016 54.6689 69.1142 66.9465 54.7843
BODYTRACK 0 8.36652 12.8917 0 42.8848 5.97915 24.9551 24.9564 10.2741 29.6856 31.529 3.01032
FACESIM 0 0 9.84105 1.64908 50.7913 9.83938 29.1487 29.2522 13.0596 34.7652 36.6758 5.24377
FERRET 0 0.378242 9.33537 0 39.1178 0.115274 19.5249 19.6257 7.29557 20.3035 21.4387 2.31448
HEARTWALL 0 6.28285 10.2847 0 44.2724 6.07117 24.9942 24.9942 2.44199 25.2179 27.4679 6.24824
HOTSPOT 0 1.02217 1.06408 16.7185 46.062 16.7185 33.838 33.838 10.8364 0.125151 6.66562 3.38374
JACOBI 0 17.7397 31.4296 40.9549 18.6187 18.6244 27.5594 29.1839 18.1308 53.3331 14.5571 14.4012
KMEANS 0 0 8.54321 0 39.4467 0 14.232 14.2345 9.13336 18.4867 19.9205 2.24515
KMEANSNF 0 8.11752 48.1021 7.88303 65.565 16.3658 48.4488 42.7686 6.9749 22.7757 61.9215 6.56221
LAVAMD 0 0.476801 76.4846 80.8667 18.4139 80.8667 87.0585 87.0626 56.8936 87.3571 47.4385 36.2242
LEUKOCYTE 0 16.5067 16.4521 48.5472 16.4521 48.5476 60.5277 60.9544 15.201 53.3246 14.1602 14.1228
LUD 0 7.86631 91.8147 2.87605 91.8147 35.1679 25.4836 93.0646 8.68309 0 0 24.5046
NW 0 23.3887 0 18.0079 4.82126 4.82126 45.1031 45.1126 13.5868 0.975194 7.2502 7.23082
SHA 0 12.9838 6.50133 2.55946 43.8026 11.0775 28.5459 28.5486 10.9671 35.9619 34.9595 3.64627
SRAD 0 4.67671 6.1058 8.95949 4.80817 4.80862 25.4431 41.7756 11.4783 26.4854 4.85244 8.57852
STREAM 0 0.0290707 0.253386 36.3757 20.1216 11.1404 32.8742 34.5595 11.6401 0.55195 10.8037 9.59882
STREAM_threads 0 0.684407 34.8095 53.2545 100 0.414792 35.3423 72.6839 14.9218 14.7518 100 14.4209
X264_ducks 0 1.78151 15.2842 0 40.1592 6.83763 21.1692 21.1818 11.0355 19.8982 27.23 2.69088
X264_native 0 0 10.6155 0 39.3423 2.2384 20.432 20.4404 5.69719 20.6466 23.9462 2.66243
AVERAGE 0 6.50431 21.8741 19.8697 39.1501 16.5507 36.1602 41.8607 14.7499 25.504 27.3157 11.0345
