Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 84.2857 46.3265 100 0.204082 81.8367 82.8571 83.0612 47.1429 5.30612 3.87755 5.91837
BFS 0 9.18367 5.71429 100 0.408163 82.8571 85.3061 85.3061 43.4694 0.204082 3.06122 6.32653
BLACKSCHOLES_10M 0 83.6735 82.449 100 82.449 82.449 84.4898 84.4898 86.7347 82.0408 82.2449 82.2449
BODYTRACK 0 84.2857 81.6327 100 81.6327 81.6327 84.898 84.898 57.7551 81.6327 82.449 82.449
FACESIM 0 84.2857 81.6327 100 81.6327 81.6327 84.898 85.102 57.551 83.4694 82.6531 82.2449
FERRET 0 84.4898 84.2857 100 84.2857 84.2857 85.9184 85.7143 66.1224 81.6327 82.8571 82.6531
HEARTWALL 0 83.2653 81.6327 100 81.6327 81.6327 86.1224 86.1224 62.8571 81.6327 82.449 82.0408
HOTSPOT 0 11.4286 20.8163 100 0.408163 87.9592 88.9796 88.9796 58.3673 0 2.85714 4.08163
JACOBI 0 84.2857 10.2041 100 81.6327 81.6327 84.898 86.5306 50.2041 0.816327 7.14286 8.57143
KMEANS 0 83.4694 84.4898 100 84.4898 84.4898 83.4694 83.4694 74.898 81.6327 82.6531 82.0408
KMEANSNF 0 82.6531 99.7959 100 99.7959 99.7959 90.2041 90.2041 50.6122 89.7959 100 82.449
LAVAMD 0 82.8571 100 100 81.6327 82.2449 83.8776 83.6735 48.3673 89.3878 82.2449 9.38776
LEUKOCYTE 0 11.6327 0.612245 100 82.8571 81.6327 84.898 84.6939 47.7551 1.22449 83.6735 82.6531
LUD 0 83.4694 100 100 100 100 86.3265 100 67.9592 100 100 82.449
NW 0 83.8776 0.408163 100 81.6327 81.8367 84.2857 84.2857 45.3061 0 82.8571 7.34694
SHA 0 85.3061 81.6327 100 81.6327 81.6327 85.102 85.102 55.102 81.6327 83.0612 82.2449
SRAD 0 83.0612 82.449 100 95.102 95.102 83.4694 83.6735 73.8776 82.0408 95.5102 83.0612
STREAM 0 11.8367 100 100 0.408163 0.408163 82.8571 83.4694 45.3061 100 4.28571 6.53061
STREAM_threads 0 9.79592 100 100 100 81.6327 98.7755 98.7755 46.3265 100 100 7.34694
X264_ducks 0 83.8776 87.9592 100 87.9592 87.9592 84.4898 84.6939 85.102 81.6327 88.3673 82.2449
X264_native 0 83.8776 84.0816 100 84.0816 84.0816 86.1224 85.9184 68.3673 81.6327 83.0612 83.0612
AVERAGE 0 66.4237 67.4344 100 70.1847 81.2731 85.8212 86.5792 59.0087 62.1769 67.3955 53.6832
