Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 14.7713 22.7267 9.37037 6.78792 9.69101 1.23778
BFS 0 10.4791 30.395 36.9178 8.78144 11.1276 1.34272
BLACKSCHOLES_10M 0 22.576 30.4577 26.5049 5.17491 15.3013 8.26997
BODYTRACK 0 19.9281 30.8431 27.1796 5.19411 10.7354 5.94361
FACESIM 0 18.1625 23.5777 23.274 5.11863 11.9225 1.2373
FERRET 0 14.6484 27.7853 23.8987 8.18878 11.305 6.06886
HEARTWALL 0 17.2863 28.3339 24.1857 6.8918 11.7264 1.47979
HOTSPOT 0 9.99049 32.0543 32.5756 9.17211 10.6224 1.23181
JACOBI 0 37.3794 15.7635 25.0935 6.51214 9.97391 1.0222
KMEANS 0 14.6484 30.0102 23.1547 5.16769 13.1516 5.58776
KMEANSNF 0 26.8012 17.9924 27.2683 13.7536 11.3467 1.52375
LAVAMD 0 36.7387 26.5447 31.1567 5.14088 10.0952 1.79344
LEUKOCYTE 0 20.2091 20.2091 19.6849 5.77575 11.6053 1.48859
LUD 0 83.9549 23.7983 83.9778 86.1474 12.493 5.24463
NW 0 9.60167 25.9204 25.9928 8.1049 10.1863 1.02577
SHA 0 21.2142 34.2581 30.5307 7.71412 10.8528 6.01512
SRAD 0 26.2869 20.8517 15.0001 15.378 13.8288 6.3075
STREAM 0 12.663 15.541 25.9473 7.09747 10.5268 2.6134
STREAM_threads 0 59.4909 20.9489 18.217 22.843 10.0321 1.75685
X264_ducks 0 15.3447 24.4916 20.2364 10.772 16.1073 4.52816
X264_native 0 14.6484 26.7149 22.8127 9.05911 13.5019 2.43287
AVERAGE 0 23.0374 24.0554 26.0445 11.7625 11.1879 3.09781
