Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL  CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 0 0.968966 0.12069 0.00344828 0.00344828 0.0827586 0.17931 0.455172 0 0.062069 0.0586207
BFS 0 0 0.110345 0.548276 0 1 0.12069 0.165517 0.434483 0.00344828 0.0758621 0.062069
BLACKSCHOLES_10M 0 0 0.00344828 0.544828 0.00344828 0.0103448 1 0.110345 0.47931 0.00689655 0.0448276 0.0275862
BODYTRACK 0 0 0 0.641379 0 0.0103448 1 0.12069 0.413793 0.0172414 0.0724138 0.0586207
FACESIM 0 0 0 0.148276 0 0 1 0.0827586 0.441379 0 0.062069 0.0517241
FERRET 0 0 0.00344828 0.203448 0.00344828 0.00344828 1 0.117241 0.434483 0 0.0793103 0.0655172
HEARTWALL 0 0 0 0.193103 0 0 1 0.124138 0.444828 0 0.0448276 0.0241379
HOTSPOT 0 0 0.00344828 0.855172 0 0.927586 0.1 0.148276 0.431034 0 0.0551724 0.0482759
JACOBI 0 0 1 0.186207 0.0103448 0.00689655 0.248276 0.17931 0.417241 0.306897 0.0827586 0.0689655
KMEANS 0 0 0 0.506897 0.00344828 0.00344828 1 0.106897 0.468966 0 0.0551724 0.0413793
KMEANSNF 0 0 0.00344828 0.141379 0.00344828 0.00689655 1 0.0586207 0.455172 0.186207 0.0586207 0.0517241
LAVAMD 0 0 1 0.113793 0 0.662069 0.0482759 0.158621 0.468966 0.3 0.0517241 0.0413793
LEUKOCYTE 0 0 0.00689655 0.175862 0.00689655 0.00689655 0.234483 0.103448 0.468966 0.389655 0.0655172 0.062069
LUD 0 0 1 0.141379 1 1 1 0.0586207 0.465517 1 0.0482759 0.0448276
NW 0 0 0 0.0965517 0 0 0.106897 0.134483 0.437931 0 0.0551724 0.0344828
SHA 0 0 0 0.989655 0 0.586207 1 0.124138 0.458621 0 0.0724138 0.0482759
SRAD 0 0 0.0103448 0.141379 0.00344828 0 1 0.062069 0.431034 0 0.0758621 0.0517241
STREAM 0 0 0.665517 0.144828 0.0137931 0.0137931 0.324138 0.224138 0.427586 1 0.0758621 0.0793103
STREAM_threads 0 0 1 0.110345 1 0 0.258621 0.203448 0.444828 1 1 0.0482759
X264_ducks 0 0 0 0.1 0.00344828 0 1 0.0965517 0.475862 0.0103448 0.0862069 0.0724138
X264_native 0 0 0.00344828 0.131034 0.00344828 0.00689655 1 0.106897 0.455172 0.00344828 0.0551724 0.037931
AVERAGE 0 0 0.275205 0.29688 0.0980296 0.202299 0.644007 0.126929 0.448112 0.201149 0.108539 0.0513957
