Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 0 14.5277 7.93078 3.36748 20.0581 1.69102
BFS 0 4.69292 0 0.905854 0 11.2685 0.484276
BLACKSCHOLES_10M 0 29.1421 17.7471 22.328 61.6711 14.1129 0.810211
BODYTRACK 0 16.9424 0 0.777038 50.4342 8.2096 1.11406
FACESIM 0 15.495 12.4413 12.8727 60.3321 11.6988 1.53776
FERRET 0 26.7325 0 5.14142 49.9128 6.42125 0.686686
HEARTWALL 0 21.0877 0 5.19801 52.3815 5.08546 0.564017
HOTSPOT 0 2.7625 0 0 4.60971 11.0125 0.180798
JACOBI 0 0 40.0747 1.4216 22.1523 8.51273 4.27003
KMEANS 0 34.6228 0 9.44967 50.5223 10.9688 0.398892
KMEANSNF 0 61.4044 9.34839 41.8945 69.0208 4.3503 2.14429
LAVAMD 0 59.5435 66.3693 65.5904 64.1947 54.0919 5.04816
LEUKOCYTE 0 40.5421 40.337 40.559 6.34044 20.1056 3.50019
LUD 0 90.6316 3.83977 90.6364 75.0831 8.55029 1.32008
NW 0 11.4867 1.97223 2.58379 0.787953 19.7292 0.617931
SHA 0 10.0421 0 0 46.7532 7.94403 0.656228
SRAD 0 1.61679 9.48293 22.2967 83.7795 10.8003 3.24164
STREAM 0 1.01377 28.7172 0.388198 26.8406 14.7275 4.39159
STREAM_threads 0 18.3083 52.5511 12.3767 40.8322 13.5649 6.43555
X264_ducks 0 30.1315 2.3266 8.79189 56.5731 8.60874 1.05512
X264_native 0 30.3242 0.320982 6.60441 51.9601 8.97635 0.860575
AVERAGE 1 23.0238 13.6389 16.2612 39.8886 12.6726 1.86405
