Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 2.5695 0.0271738 3.5983 1.92e-05 4.21035 0.35439
BFS 0 7.03901 0.0399404 7.60753 0 4.02936 0.318089
BLACKSCHOLES_10M 0 9.71812 0.0238352 2.55857 0.0087618 4.20443 0.30084
BODYTRACK 0 4.4743 4.39204 8.47583 0.0068282 4.25333 0.0406544
FACESIM 0 6.66393 2.86727 8.87907 1.57278 4.21346 0.165457
FERRET 0 3.8591 8.93939 5.77287 0.0026956 4.03387 0.0915348
HEARTWALL 0 3.39902 0.0297588 5.17008 0.001037 3.92596 0.14436
HOTSPOT 0 3.0309 0.0370308 6.86859 0.0005122 3.98272 0.296647
JACOBI 0 13.9311 5.20783 0 4.34067 4.24615 0.299795
KMEANS 0 6.43856 8.96986 6.60428 0.0040568 4.01146 0.0961296
KMEANSNF 0 3.34245 0.0312038 5.7441 0.002422 3.94695 0.208428
LAVAMD 0 23.3168 0.018374 1.13906 16.8497 4.395 0.403455
LEUKOCYTE 0 0.892795 0.0366432 1.08941 0.0084214 4.13121 0.197623
LUD 0 3.7295 0.0385156 6.72643 0.064244 4.27584 1.05796
NW 0 3.38523 0.0374932 7.59281 0 3.68927 0.152364
SHA 0 4.48999 7.20493 9.82127 0.0123232 4.05737 0.0600078
SRAD 0 4.5865 4.58525 0.827968 12.8664 4.21696 0.392205
STREAM 0 0.678174 28.5936 0.525798 15.9031 4.66789 0.835726
STREAM_threads 0 9.37821 6.3308 0.326172 4.63611 4.02365 0.556131
X264_ducks 0 2.30536 3.51452 8.2521 0.0067764 3.76315 0.107506
X264_native 0 3.0434 5.41232 9.10451 0.0030212 3.82564 0.100131
AVERAGE 0 5.46691 3.92444 4.84931 2.55863 3.91382 0.280883
