Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 7.02119 19.6986 16.3614 0.672516 11.6945 10.0257
BFS 0 0 0.391578 3.18938 0.000181357 7.72317 4.13976
BLACKSCHOLES_10M 0 70.6929 20.7954 16.4726 0 17.682 14.7107
BODYTRACK 0 21.7209 0 0 3.34697 11.3589 6.15159
FACESIM 0 16.4683 13.1087 15.3261 12.4225 8.20391 6.38636
FERRET 0 6.28614 0 9.21834 1.02101 3.62083 5.28391
HEARTWALL 0 42.4552 16.1709 11.9541 0.0780702 13.004 9.85991
HOTSPOT 0 21.2349 18.5333 20.1635 18.9877 7.00675 4.65134
JACOBI 0 12.0198 27.1611 2.00685 19.4123 7.37348 7.15055
KMEANS 0 20.9505 0 17.9509 3.75213 2.60503 5.30365
KMEANSNF 0 46.4893 8.50657 7.27877 0.262113 13.9434 12.2517
LAVAMD 0 63.38 47.109 22.7043 26.4175 23.8625 21.5097
LEUKOCYTE 0 8.55058 9.19886 8.61581 3.74877 7.90904 7.55682
LUD 0 29.2627 5.96548 4.13813 0.508967 15.7684 10.4829
NW 0 25.2318 10.0284 9.60136 5.76887 8.96437 5.87981
SHA 0 15.6629 0 0 3.68506 5.75472 5.43162
SRAD 0 32.8696 22.1007 22.0583 22.9444 11.9252 11.3164
STREAM 0 0.31301 70.2948 0.0448481 24.5704 7.318 7.08152
STREAM_threads 0 15.2396 39.7888 0.18211 30.9263 10.1166 9.76623
X264_ducks 0 14.3238 0 4.9651 1.41238 6.0562 5.68475
X264_native 0 8.06552 0 4.57416 2.26438 6.44242 5.12025
AVERAGE 1 21.7381 14.9478 8.94573 8.28193 9.4697 7.98842
