0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 19.46 0.0 28.55 38.83 24.27 38.18 38.17 19.02 1.23 4.19 3.26
2 BFS 0.0 6.25 0.0 19.87 28.74 19.87 29.31 29.31 11.61 0.0 18.78 3.87
3 BLACKSCHOLES_10M 0.0 0.0 0.0 0.0 6.34 0.0 0.0 0.0 0.0 0.96 5.43 0.94
4 BODYTRACK 0.0 0.0 0.0 0.0 22.35 0.0 0.0 0.0 0.0 17.26 10.7 7.84
5 FACESIM 0.0 0.0 8.44 0.0 40.87 0.0 4.79 4.8 0.0 35.38 38.07 0.0
6 FERRET 0.0 0.0 24.61 0.0 24.59 5.65 3.92 3.92 0.0 20.0 20.77 10.91
7 HEARTWALL 0.0 0.0 12.15 0.0 24.33 3.94 2.25 2.27 0.0 19.78 17.26 0.59
8 HOTSPOT 0.0 1.21 1.09 9.25 21.25 9.37 21.61 21.61 15.38 0.0 15.92 1.71
9 JACOBI 0.0 0.0 0.0 42.46 9.41 9.41 50.25 50.92 17.3 6.69 3.33 6.16
10 KMEANS 0.0 0.0 16.76 0.0 16.76 0.0 0.0 0.0 0.0 11.34 12.68 11.35
11 KMEANSNF 0.0 0.0 53.81 0.0 53.81 37.6 32.23 33.27 0.0 49.86 53.77 0.0
12 LAVAMD 0.0 36.42 22.44 36.43 62.04 36.39 47.51 47.51 23.51 53.33 60.13 28.19
13 LEUKOCYTE 0.0 3.08 44.97 56.06 69.6 56.07 62.3 62.3 26.37 56.01 38.59 24.12
14 LUD 0.0 0.0 88.69 0.0 88.69 88.69 7.56 90.43 0.0 0.0 0.0 9.01
15 NW 0.0 20.99 4.18 13.55 55.61 13.55 27.5 27.5 15.0 0.51 54.02 3.99
16 SHA 0.0 6.15 14.83 0.0 34.87 6.1 5.48 5.48 0.0 31.17 24.17 22.39
17 SRAD 0.0 10.63 5.61 18.35 68.98 68.98 29.6 49.69 9.63 23.64 22.32 32.2
18 STREAM 0.0 0.0 0.0 46.01 17.73 17.73 51.18 51.89 21.78 20.43 12.42 8.29
19 STREAM_threads 0.0 1.52 33.42 66.29 100.0 28.06 74.19 74.19 15.7 12.87 100.0 22.87
20 X264_ducks 0.0 0.0 5.8 0.0 5.78 0.0 0.0 0.0 0.0 0.0 0.92 0.0
21 X264_native 0.0 0.0 22.14 0.0 22.14 5.2 3.01 3.02 0.0 17.37 18.61 17.42
22 AVERAGE 0.0 5.03 17.09 16.04 38.7 20.52 23.37 28.39 8.35 17.99 25.34 10.24
