0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 12.4343 24.2258 27.353 14.9362 10.0972 1.14786
2 BFS 0 10.5069 28.154 28.379 17.3684 11.0344 1.4579
3 BLACKSCHOLES_10M 0 27.6535 25.927 27.6366 14.9454 22.6511 12.6566
4 BODYTRACK 0 20.9075 26.8392 23.9256 15.0266 14.305 14.4247
5 FACESIM 0 20.9075 25.1692 25.0145 13.4443 13.5729 8.16138
6 FERRET 0 28.9066 24.3699 28.8827 16.1815 15.4546 14.4787
7 HEARTWALL 0 26.5376 24.0429 26.5128 15.7509 14.4678 10.2886
8 HOTSPOT 0 11.5 29.7967 30.1308 17.4488 14.0517 1.21923
9 JACOBI 0 10.9315 21.5796 21.2382 14.6578 10.8703 2.82473
10 KMEANS 0 29.1584 27.1052 29.1351 14.9844 18.7595 14.0056
11 KMEANSNF 0 33.6013 30.5862 33.6007 21.1042 11.5579 14.6122
12 LAVAMD 0 37.4426 24.4591 28.1247 13.6754 11.1214 1.35475
13 LEUKOCYTE 0 9.59908 21.0565 20.5884 14.0278 10.5951 1.61797
14 LUD 0 85.7246 20.9075 85.7423 87.6866 15.7871 16.3713
15 NW 0 9.75417 26.3603 26.4362 16.1049 9.6986 1.33832
16 SHA 0 24.091 28.145 24.0477 15.493 13.1212 14.4558
17 SRAD 0 27.7797 20.9075 31.256 22.5638 17.2045 14.5147
18 STREAM 0 20.4904 20.9397 9.21143 14.4435 9.72848 1.76194
19 STREAM_threads 0 63.8417 33.5432 25.0988 31.8747 9.9597 2.33791
20 X264_ducks 0 29.8281 20.9075 29.813 18.464 22.8525 16.6463
21 X264_native 0 28.5483 23.6108 28.5246 16.9419 15.7066 11.1264
22 AVERAGE 0 25.9157 24.0288 27.7569 19.4147 13.2999 8.0365
