0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 18.68 0.0 27.88 39.12 23.55 37.05 37.05 21.46 2.03 4.16 3.98
2 BFS 0.0 5.22 0.0 18.04 28.13 18.04 27.51 27.51 18.15 0.0 17.36 2.54
3 BLACKSCHOLES_10M 0.0 0.0 0.0 0.0 8.35 0.0 0.0 0.0 0.0 1.37 1.63 0.0
4 BODYTRACK 0.0 0.0 0.0 0.0 23.48 0.0 0.0 0.0 0.0 17.05 8.24 8.06
5 FACESIM 0.0 0.0 9.07 0.0 41.27 0.0 4.56 4.55 0.12 34.25 22.45 0.0
6 FERRET 0.0 0.0 24.77 0.0 24.77 5.93 3.61 3.62 0.0 18.84 10.53 0.0
7 HEARTWALL 0.0 0.0 12.53 0.0 24.64 4.35 2.05 2.07 0.0 18.79 14.53 0.4
8 HOTSPOT 0.0 0.76 0.78 7.62 21.03 7.69 20.06 20.06 17.13 0.0 8.75 2.06
9 JACOBI 0.0 0.0 0.0 42.65 10.97 10.97 49.22 50.04 14.76 7.76 1.32 4.16
10 KMEANS 0.0 0.0 17.3 0.0 17.3 0.0 0.0 0.0 0.0 10.39 0.0 0.0
11 KMEANSNF 0.0 0.0 53.65 0.0 53.65 37.4 30.49 31.95 2.52 47.21 43.12 0.0
12 LAVAMD 0.0 36.31 22.18 36.25 61.97 36.25 47.05 47.05 21.73 52.87 58.84 26.38
13 LEUKOCYTE 0.0 3.54 45.18 55.57 69.25 55.57 61.5 61.46 24.2 55.42 35.14 8.87
14 LUD 0.0 0.0 88.75 0.0 88.75 88.75 7.29 90.48 0.0 0.0 0.0 8.53
15 NW 0.0 20.06 4.4 12.48 55.08 12.48 26.13 26.13 14.89 0.74 51.17 2.0
16 SHA 0.0 6.2 14.76 0.0 34.83 6.02 5.33 5.33 0.0 30.1 21.64 21.56
17 SRAD 0.0 10.02 4.96 17.75 68.73 68.73 28.45 48.07 13.19 22.63 27.07 29.65
18 STREAM 0.0 0.0 0.0 45.27 17.75 17.75 49.62 50.43 20.88 20.39 9.64 8.25
19 STREAM_threads 0.0 1.43 32.19 65.67 100.0 26.87 73.76 73.76 20.33 12.76 100.0 12.76
20 X264_ducks 0.0 0.0 7.28 0.0 7.28 0.0 0.0 0.0 0.0 0.0 0.0 0.0
21 X264_native 0.0 0.0 22.36 0.0 22.36 5.44 2.66 2.67 0.0 16.29 0.0 0.0
22 AVERAGE 0.0 4.87 17.15 15.67 38.99 20.28 22.68 27.73 9.02 17.57 20.74 6.63
