0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 16.4857 0.062516 7.05034 0.0415388 6.92397 0.625407
2 BFS 0 6.97988 8.32284 9.98795 0.041837 7.14404 0.753651
3 BLACKSCHOLES_10M 0 6.26307 10.8205 8.53923 1.79334 8.04936 0.51417
4 BODYTRACK 0 5.37718 10.7336 8.63218 2.50375 7.27097 0.484579
5 FACESIM 0 5.61741 0.0639044 6.77016 0.0751882 6.82845 0.465376
6 FERRET 0 4.66924 6.2605 7.61713 2.81504 7.21675 0.551058
7 HEARTWALL 0 5.66777 7.72873 7.84775 2.77823 6.98001 0.501377
8 HOTSPOT 0 7.06512 12.113 16.3536 0.0497022 7.08614 0.674919
9 JACOBI 0 42.2664 0.0456052 6.01263 7.52789 7.15614 0.535738
10 KMEANS 0 4.61393 9.81994 8.42104 2.23777 7.04353 0.566775
11 KMEANSNF 0 5.31419 0.0667178 5.2936 8.84619 6.62052 0.650243
12 LAVAMD 0 12.3717 2.52624 9.48965 0.0474164 6.4745 0.578201
13 LEUKOCYTE 0 6.84072 0.0678478 8.07735 0.055698 6.99448 0.654031
14 LUD 0 53.9436 1.06241 3.48306 61.6067 7.66165 1.60043
15 NW 0 7.53654 0.245133 8.11412 0.042392 6.8506 0.447151
16 SHA 0 6.58611 14.7188 9.99861 0.0576266 6.64624 0.488225
17 SRAD 0 8.88074 0.0641438 7.90163 4.01004 7.08591 0.720878
18 STREAM 0 9.52614 0.0476796 4.50979 17.6001 7.65301 1.05965
19 STREAM_threads 0 31.5655 0.0481164 7.04435 13.1322 7.32082 0.859057
20 X264_ducks 0 4.08204 3.57779 6.87452 4.60746 7.28116 0.563764
21 X264_native 0 4.59006 5.27839 7.38974 3.37367 6.84302 0.547804
22 AVERAGE 0 11.6474 4.25793 7.51857 6.05654 6.77869 0.629204
