0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 2.06 0.0 32.02 13.22 7.81 47.12 47.24 15.08 0.0 9.14 5.56
2 BFS 0.0 19.63 3.29 14.35 37.23 14.48 36.45 36.45 10.43 3.36 10.12 5.66
3 BLACKSCHOLES_10M 0.0 9.62 14.3 3.1 46.27 9.53 26.9 26.92 16.43 42.65 43.79 19.0
4 BODYTRACK 0.0 0.0 11.5 0.0 44.62 0.0 17.21 17.22 11.58 40.92 34.5 3.39
5 FACESIM 0.0 0.0 0.3 0.0 52.87 0.3 23.37 23.37 3.75 47.92 37.7 3.75
6 FERRET 0.0 0.0 14.76 0.0 31.84 0.0 12.27 12.27 1.82 27.15 19.92 2.12
7 HEARTWALL 0.0 0.0 1.96 0.0 35.72 0.0 16.14 16.14 0.0 31.42 23.76 2.4
8 HOTSPOT 0.0 21.54 1.65 13.37 31.94 13.37 31.06 31.06 11.75 0.0 13.18 3.3
9 JACOBI 0.0 14.25 28.94 44.75 15.5 15.5 58.05 58.58 24.74 42.8 11.62 10.78
10 KMEANS 0.0 0.0 0.0 0.0 25.09 0.0 0.0 0.0 1.39 19.13 16.32 5.75
11 KMEANSNF 0.0 3.2 54.44 2.87 62.09 10.91 45.28 46.47 6.21 59.41 57.93 5.7
12 LAVAMD 0.0 0.0 78.88 80.65 90.55 80.65 86.78 86.79 68.36 88.22 89.33 62.97
13 LEUKOCYTE 0.0 1.01 37.64 49.43 71.4 49.43 63.86 63.92 17.13 55.64 24.19 14.32
14 LUD 0.0 4.3 90.97 0.0 90.96 90.96 24.5 92.35 1.06 0.0 0.0 26.26
15 NW 0.0 0.77 0.73 17.41 64.76 17.41 41.49 41.49 15.03 0.04 57.56 7.35
16 SHA 0.0 9.81 16.95 0.0 46.89 4.75 22.08 22.09 7.32 43.64 36.83 3.18
17 SRAD 0.0 4.47 4.41 13.84 70.08 21.35 30.14 51.74 7.24 27.06 7.29 28.35
18 STREAM 0.0 0.0 0.53 40.48 20.48 20.48 50.4 51.47 14.81 20.97 9.23 9.46
19 STREAM_threads 0.0 0.2 34.9 58.26 100.0 29.95 72.3 72.01 17.15 14.92 100.0 12.84
20 X264_ducks 0.0 0.0 23.63 0.0 33.16 0.0 19.39 19.39 8.89 28.53 29.85 1.47
21 X264_native 0.0 0.0 6.97 0.0 30.81 0.0 13.05 13.05 0.54 26.2 27.22 1.85
22 AVERAGE 0.0 4.33 20.32 17.64 48.36 18.42 35.14 39.53 12.41 29.52 31.4 11.21
