0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 0.93 0.0 30.47 6.8 6.8 41.85 41.86 21.68 0.0 6.4 5.95
2 BFS 0.0 4.8 3.39 12.93 32.99 18.91 31.77 31.77 13.03 3.66 15.16 3.47
3 BLACKSCHOLES_10M 0.0 0.0 0.0 0.0 13.65 0.0 0.0 0.0 0.0 6.41 6.23 0.0
4 BODYTRACK 0.0 0.0 6.74 0.0 36.09 0.0 4.25 4.26 5.88 30.31 22.82 22.79
5 FACESIM 0.0 0.0 0.0 0.0 44.97 0.0 10.04 10.04 0.03 38.17 38.73 1.79
6 FERRET 0.0 0.0 15.26 0.0 26.23 0.0 4.67 4.68 0.0 19.99 11.74 0.0
7 HEARTWALL 0.0 0.0 7.71 0.0 27.27 0.0 4.63 4.64 0.0 21.28 17.4 1.93
8 HOTSPOT 0.0 22.17 2.3 11.8 27.25 11.8 25.5 25.5 16.4 2.17 9.61 3.29
9 JACOBI 0.0 9.72 8.83 45.5 9.68 9.68 56.21 57.04 25.98 29.65 8.15 10.2
10 KMEANS 0.0 0.0 11.38 0.0 18.46 0.0 0.0 0.0 0.0 10.83 0.0 0.0
11 KMEANSNF 0.0 0.0 58.02 1.33 58.02 36.73 37.84 38.89 7.53 54.09 44.07 8.39
12 LAVAMD 0.0 37.91 63.01 69.39 82.74 68.56 75.72 75.72 56.16 78.22 80.84 54.98
13 LEUKOCYTE 0.0 2.15 51.28 51.27 70.18 51.18 62.6 62.6 21.26 55.32 33.71 10.15
14 LUD 0.0 0.0 89.46 0.0 89.46 89.46 13.07 91.09 0.0 0.0 0.0 14.17
15 NW 0.0 17.37 6.97 17.22 60.66 17.22 34.26 34.26 16.89 0.62 56.64 3.24
16 SHA 0.0 8.2 15.43 0.0 41.32 0.25 14.09 14.11 7.56 36.85 29.11 29.08
17 SRAD 0.0 6.03 5.9 13.82 69.06 25.72 28.95 48.71 9.23 23.89 20.31 30.39
18 STREAM 0.0 19.09 0.33 42.31 19.02 19.02 51.33 52.3 21.13 22.03 12.33 10.49
19 STREAM_threads 0.0 0.52 33.48 61.69 100.0 28.29 70.92 71.23 17.46 14.42 100.0 13.66
20 X264_ducks 0.0 0.0 11.78 0.0 18.51 0.0 3.05 3.06 0.0 11.71 0.0 0.0
21 X264_native 0.0 0.0 16.77 0.0 24.17 0.0 4.27 4.29 0.0 17.85 0.0 0.0
22 AVERAGE 0.0 6.14 19.43 17.04 41.74 18.27 27.38 32.19 11.44 22.74 24.44 10.67
