0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 0 32.2027 19.0855 42.6494 17.6424 1.65468
2 BFS 0 0 24.023 24.0582 31.8846 15.2752 0.46648
3 BLACKSCHOLES_10M 0 8.04466 0 8.04182 0 0 0
4 BODYTRACK 0 9.56348 0 20.7151 5.49799 0 4.26838
5 FACESIM 0 28.7173 9.73426 9.70982 22.044 0.730742 0.75844
6 FERRET 0 25.4429 6.7752 25.3379 15.9781 0.930326 10.6169
7 HEARTWALL 0 25.091 5.15363 25.2862 15.5783 0 0.235366
8 HOTSPOT 0 0 14.5094 14.5738 26.0371 15.8605 0.223497
9 JACOBI 0 0 34.68 26.5221 43.1652 0 1.44309
10 KMEANS 0 17.7844 0 17.7896 6.53169 2.29466 0
11 KMEANSNF 0 48.279 30.2399 48.279 36.1949 0 0
12 LAVAMD 0 0 16.949 8.96377 30.1514 0 4.89562
13 LEUKOCYTE 0 60.6814 63.3723 63.3527 66.2219 30.2505 4.66415
14 LUD 0 88.6494 11.4428 88.6526 90.3739 0 8.08314
15 NW 0 11.6216 18.2735 18.3199 33.741 6.86638 0
16 SHA 0 33.0876 3.58688 33.0834 19.4642 0 18.8194
17 SRAD 0 14.1366 32.391 69.0973 56.979 10.0071 29.8172
18 STREAM 0 0 52.4309 13.8278 57.855 19.7022 5.57169
19 STREAM_threads 0 31.9648 73.9216 27.5472 80.2659 19.8555 10.5142
20 X264_ducks 0 7.67459 0 7.67161 0 0 0
21 X264_native 0 22.5768 5.70496 23.0297 15.257 0.892834 0.140915
22 AVERAGE 0 19.6962 19.7905 26.952 31.6305 6.37765 4.64423
