0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 3.99 9.75 27.8 19.8 8.63 42.12 42.25 7.52 7.99 11.42 6.44
2 BFS 0.0 1.75 0.0 20.84 8.59 0.0 40.57 40.57 9.08 0.0 8.11 3.91
3 BLACKSCHOLES_10M 0.0 1.47 66.6 63.48 80.47 66.6 72.98 72.98 53.18 72.74 55.19 45.85
4 BODYTRACK 0.0 13.5 2.82 0.62 47.19 4.5 27.02 27.02 10.49 26.14 27.24 3.71
5 FACESIM 0.0 3.2 8.97 8.96 56.2 12.68 25.94 25.94 15.25 25.69 20.85 5.89
6 FERRET 0.0 5.34 13.44 0.0 40.81 5.1 20.96 20.97 8.8 20.22 20.74 2.65
7 HEARTWALL 0.0 16.87 21.18 7.48 49.32 16.78 31.4 31.41 10.98 30.13 30.69 12.18
8 HOTSPOT 0.0 3.49 0.0 15.73 3.32 0.0 35.99 36.0 5.44 0.28 4.56 4.09
9 JACOBI 0.0 18.6 31.82 35.98 19.24 19.25 24.5 28.22 15.3 48.53 15.0 15.81
10 KMEANS 0.0 0.0 10.75 0.0 41.09 0.0 19.31 19.31 11.63 18.65 21.57 2.96
11 KMEANSNF 0.0 17.16 26.83 36.48 68.85 20.3 24.95 54.21 10.7 27.02 21.14 9.42
12 LAVAMD 0.0 3.77 75.96 80.38 20.8 20.79 85.43 85.43 46.57 85.33 40.14 37.53
13 LEUKOCYTE 0.0 17.94 17.52 40.12 17.69 17.69 52.17 53.27 13.97 51.13 15.23 13.83
14 LUD 0.0 9.84 0.0 5.18 92.37 26.49 22.87 93.54 8.35 0.0 1.73 15.21
15 NW 0.0 23.4 0.91 18.97 10.91 10.92 41.82 41.82 8.76 2.13 8.82 6.97
16 SHA 0.0 17.05 4.59 5.31 47.39 8.83 31.43 31.42 8.9 1.04 27.24 3.83
17 SRAD 0.0 7.54 21.98 7.18 7.47 7.47 20.64 20.8 11.1 9.67 7.25 9.91
18 STREAM 0.0 0.0 0.14 32.49 19.9 6.76 28.11 31.65 11.35 0.52 11.59 10.89
19 STREAM_threads 0.0 0.78 34.3 47.96 100.0 0.35 33.92 40.49 14.66 14.11 100.0 14.52
20 X264_ducks 0.0 5.05 17.34 0.0 42.46 10.0 19.57 19.62 10.87 18.95 22.07 3.03
21 X264_native 0.0 7.01 11.97 0.0 42.35 6.7 20.4 20.29 8.77 19.46 21.8 2.85
22 AVERAGE 0.0 8.46 17.95 21.66 39.82 12.85 34.39 39.87 14.36 22.84 23.45 11.02
