0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 3.41586 0.0422358 6.59394 0 5.08597 0.389068
2 BFS 0 3.23092 7.98945 7.73629 0.001837 5.40791 0.410516
3 BLACKSCHOLES_10M 0 4.71821 12.6465 5.31804 2.22552 5.02335 0.336972
4 BODYTRACK 0 5.80989 12.1102 11.542 0.831178 5.19217 0.159552
5 FACESIM 0 5.17049 0.0440896 6.50789 7.13967 5.01724 0.20025
6 FERRET 0 3.71206 8.99355 7.49932 0.0187518 5.04846 0.220459
7 HEARTWALL 0 4.83723 10.437 8.02728 0.0096374 5.10424 0.198749
8 HOTSPOT 0 5.67624 10.5907 8.54261 0.0078746 5.2366 0.361352
9 JACOBI 0 22.9987 0.0301352 1.82049 10.6434 5.16798 0.359998
10 KMEANS 0 3.51567 11.4187 8.40288 1.79338 5.45282 0.223658
11 KMEANSNF 0 8.39368 3.87767 10.5551 0.0201764 4.88599 0.324963
12 LAVAMD 0 17.6335 0.0384456 3.56993 7.93637 5.37597 0.465561
13 LEUKOCYTE 0 2.87544 0.0345996 3.50866 0.407145 5.14563 0.327728
14 LUD 0 9.42614 7.78725 3.84896 0.0965746 5.20821 1.25709
15 NW 0 5.65056 0.857366 6.64805 0.0067994 4.59443 0.143502
16 SHA 0 5.45188 14.5174 13.8722 0.0283984 4.86218 0.184894
17 SRAD 0 8.072 8.13441 3.18585 7.26966 5.39628 0.490869
18 STREAM 0 3.6275 0.0304466 2.81244 21.5045 6.52103 0.930051
19 STREAM_threads 0 14.6468 0.0116338 2.56556 11.7384 5.5187 0.731848
20 X264_ducks 0 4.14149 7.1426 6.87206 0.0199766 4.66744 0.239706
21 X264_native 0 4.31794 7.52712 7.15995 0.0185248 4.95953 0.217278
22 AVERAGE 0 6.69646 5.64825 6.20861 3.2599 4.94873 0.371548
