0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 22.348 20.5397 8.42575 0.161736 9.88044 1.53649
2 BFS 0 9.70379 34.3292 12.4631 1.26649 10.2319 1.67431
3 BLACKSCHOLES_10M 0 22.62 36.6098 27.1823 3.37823 11.8687 1.49927
4 BODYTRACK 0 19.2579 36.5299 27.5662 3.66178 9.96419 0.919859
5 FACESIM 0 20.3787 21.8135 19.904 0.13082 9.78035 1.03394
6 FERRET 0 16.5445 32.4762 23.4536 0.154123 10.4269 0.996087
7 HEARTWALL 0 20.4878 33.7925 24.4794 0.167831 10.0208 1.08147
8 HOTSPOT 0 9.74712 37.8046 38.5905 1.26684 9.85656 1.46129
9 JACOBI 0 67.6342 11.9699 17.3392 0.235554 9.83438 1.53906
10 KMEANS 0 15.8708 35.6917 26.6218 3.59737 10.484 1.1451
11 KMEANSNF 0 19.2922 24.321 13.3083 3.90898 10.3985 1.50372
12 LAVAMD 0 34.0302 29.1994 29.4353 0.14144 10.9773 2.05075
13 LEUKOCYTE 0 26.2765 25.2962 25.2414 0.141632 10.0789 1.46999
14 LUD 0 81.6854 27.9457 8.95925 84.1684 10.2167 4.1213
15 NW 0 10.6073 27.2536 9.65626 0.148927 10.3574 0.873551
16 SHA 0 9.67518 40.2411 30.4332 4.99712 10.5697 0.952023
17 SRAD 0 12.0902 22.0307 9.39879 6.06902 11.8808 1.64153
18 STREAM 0 9.20128 12.4343 5.31508 2.62828 11.3866 3.47166
19 STREAM_threads 0 53.9922 12.5293 8.71391 0.656931 10.2594 1.9899
20 X264_ducks 0 13.9447 30.1112 20.3817 0.890713 11.6901 1.01795
21 X264_native 0 15.6772 31.6042 22.5454 0.152472 10.3431 1.09528
22 AVERAGE 0 23.2302 26.5693 18.6097 5.36021 10.023 1.50339
