0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 65.5 14.13 17.8 23.95 8.86 9.76 6.11 6.96 8.15 7.76 6.67
2 BFS 0.0 54.02 2.69 0.0 7.58 2.69 0.0 4.06 6.01 1.83 3.28 2.99
3 BLACKSCHOLES_10M 0.0 77.58 57.43 54.0 0.0 0.0 61.83 60.26 24.02 57.83 11.29 12.92
4 BODYTRACK 0.0 51.13 13.59 0.0 35.74 0.0 7.36 4.84 6.27 13.07 3.5 3.54
5 FACESIM 0.0 64.5 4.25 4.54 28.77 10.05 6.46 14.57 8.53 0.0 7.36 6.47
6 FERRET 0.0 47.12 13.55 0.0 42.97 3.2 11.68 8.36 6.74 0.0 2.58 3.66
7 HEARTWALL 0.0 60.08 29.18 18.48 56.89 24.82 32.44 29.3 13.59 23.44 4.11 5.16
8 HOTSPOT 0.0 48.76 1.91 0.0 7.39 2.79 3.73 5.35 3.76 2.57 2.94 2.65
9 JACOBI 0.0 73.48 14.28 15.62 0.08 0.0 21.62 23.29 9.62 48.54 7.68 10.49
10 KMEANS 0.0 50.98 10.76 0.0 46.66 0.0 11.11 6.97 7.46 0.0 3.07 3.76
11 KMEANSNF 0.0 70.24 24.35 40.12 67.87 20.8 30.19 15.24 12.07 32.69 10.98 8.93
12 LAVAMD 0.0 88.59 59.0 69.95 18.58 18.41 11.81 53.18 34.21 58.92 27.08 27.92
13 LEUKOCYTE 0.0 66.68 0.69 24.65 0.69 0.6 20.08 24.61 10.53 3.34 6.73 8.5
14 LUD 0.0 92.14 7.83 0.0 19.55 19.53 79.15 8.23 7.6 16.6 2.75 4.7
15 NW 0.0 64.15 1.21 0.0 17.49 0.0 0.21 7.42 6.97 2.25 3.0 3.54
16 SHA 0.0 48.06 8.64 0.0 32.33 0.0 3.76 4.2 5.79 7.24 2.75 2.82
17 SRAD 0.0 69.72 32.32 5.37 19.97 19.92 15.76 21.46 10.98 24.29 7.42 12.69
18 STREAM 0.0 62.55 0.0 10.78 0.0 5.27 35.3 15.85 8.02 0.17 9.67 9.38
19 STREAM_threads 0.0 80.45 15.13 28.49 97.24 0.0 23.91 23.72 11.11 13.02 98.5 12.46
20 X264_ducks 0.0 45.41 10.55 0.0 42.69 5.41 12.0 9.47 5.27 0.0 2.49 4.29
21 X264_native 0.0 46.61 9.13 0.0 43.82 3.81 11.24 7.98 6.19 0.0 2.86 3.74
22 AVERAGE 0.0 63.23 15.74 13.8 29.06 6.96 19.5 16.88 10.08 14.95 10.85 7.49
