0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 0.0 45.86 13.1 0.0 0.0 7.24 25.52 48.28 10.69 10.0 7.59
2 BFS 0.0 0.0 76.55 99.66 0.34 76.55 16.55 20.69 45.86 1.72 9.66 7.93
3 BLACKSCHOLES_10M 0.0 0.0 5.52 100.0 0.34 0.34 44.48 24.83 42.76 0.0 5.17 5.52
4 BODYTRACK 0.0 0.0 2.07 100.0 0.34 99.31 41.03 20.34 43.1 0.0 9.66 6.55
5 FACESIM 0.0 0.0 0.0 13.45 0.69 0.0 27.59 8.28 43.45 1.72 5.17 4.14
6 FERRET 0.0 0.0 0.34 99.31 0.0 0.34 44.14 24.83 44.14 0.0 6.21 4.83
7 HEARTWALL 0.0 0.0 0.34 100.0 0.0 0.34 46.21 26.21 41.38 0.0 4.83 4.48
8 HOTSPOT 0.0 0.0 40.0 100.0 0.0 100.0 16.55 18.97 46.21 0.0 6.9 7.93
9 JACOBI 0.0 0.0 100.0 21.03 0.0 0.0 50.0 13.45 44.14 46.21 8.97 6.55
10 KMEANS 0.0 0.0 0.34 100.0 0.0 1.03 44.14 25.17 42.07 0.0 5.17 2.76
11 KMEANSNF 0.0 0.0 0.34 100.0 0.0 0.0 50.34 8.28 44.14 50.0 6.21 5.17
12 LAVAMD 0.0 0.0 0.34 13.79 0.34 0.34 35.86 12.41 45.52 0.34 6.21 8.28
13 LEUKOCYTE 0.0 0.0 0.0 13.79 0.0 0.0 35.17 6.9 44.83 0.0 6.9 5.52
14 LUD 0.0 0.0 100.0 39.31 0.0 0.0 100.0 10.69 45.52 7.59 6.21 6.21
15 NW 0.0 0.0 3.79 16.55 0.0 1.38 14.48 12.07 46.9 0.0 8.62 6.21
16 SHA 0.0 0.0 0.34 100.0 0.34 100.0 27.93 14.48 46.21 0.0 6.55 3.79
17 SRAD 0.0 0.0 100.0 14.48 0.34 0.0 24.48 7.59 45.86 48.97 6.21 6.21
18 STREAM 0.0 0.0 0.0 19.66 0.0 0.0 46.21 36.55 46.21 1.03 11.72 9.31
19 STREAM_threads 0.0 0.0 100.0 21.72 100.0 0.0 50.0 22.76 47.59 100.0 100.0 9.66
20 X264_ducks 0.0 0.0 0.0 90.34 0.0 0.0 44.83 24.14 44.48 1.38 6.55 5.17
21 X264_native 0.0 0.0 0.34 96.55 0.0 0.0 48.62 23.1 46.9 0.0 4.83 4.14
22 AVERAGE 0.0 0.0 27.44 60.61 4.89 18.08 38.85 18.44 45.02 12.84 11.51 6.09
