0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 0.0 100.0 15.17 0.34 0.34 20.0 17.59 43.45 0.34 7.93 8.28
2 BFS 0.0 0.0 2.07 98.28 0.34 99.66 15.86 17.24 45.52 0.34 8.28 8.62
3 BLACKSCHOLES_10M 0.0 0.0 0.34 100.0 0.34 1.03 99.66 12.76 45.86 0.0 4.48 2.07
4 BODYTRACK 0.0 0.0 0.0 100.0 0.0 1.38 100.0 12.07 46.55 18.97 7.59 5.86
5 FACESIM 0.0 0.0 0.0 14.83 0.0 0.0 24.14 8.28 42.76 1.38 7.93 5.52
6 FERRET 0.0 0.0 0.34 83.79 0.34 0.34 100.0 13.79 46.21 0.34 6.9 4.48
7 HEARTWALL 0.0 0.0 0.0 96.21 0.0 0.69 100.0 13.45 46.9 0.0 5.17 3.45
8 HOTSPOT 0.0 0.0 0.0 100.0 0.0 100.0 7.93 15.86 43.1 0.0 4.14 5.17
9 JACOBI 0.0 0.0 100.0 19.31 0.34 0.34 32.07 17.24 46.21 33.45 9.31 7.24
10 KMEANS 0.0 0.0 0.0 99.66 0.0 1.03 100.0 10.34 44.14 0.0 7.93 6.21
11 KMEANSNF 0.0 0.0 0.0 14.14 0.0 0.0 100.0 6.21 44.14 26.9 6.9 6.21
12 LAVAMD 0.0 0.0 100.0 17.59 0.0 2.76 13.79 13.1 44.14 0.34 4.48 3.1
13 LEUKOCYTE 0.0 0.0 2.07 13.1 0.0 0.0 27.59 8.97 45.17 31.38 6.21 7.24
14 LUD 0.0 0.0 100.0 19.31 100.0 100.0 100.0 6.55 46.55 100.0 5.52 4.83
15 NW 0.0 0.0 1.38 15.86 0.0 5.17 18.62 14.83 44.48 0.0 6.21 2.41
16 SHA 0.0 0.0 0.0 100.0 0.0 68.62 98.97 14.14 46.21 0.0 6.21 4.48
17 SRAD 0.0 0.0 1.03 14.48 0.34 0.0 100.0 5.86 42.41 0.0 4.83 4.83
18 STREAM 0.0 0.0 1.38 14.83 0.34 0.34 31.03 25.86 41.38 94.83 6.55 5.52
19 STREAM_threads 0.0 0.0 100.0 16.21 100.0 0.34 32.41 20.34 43.1 100.0 100.0 9.31
20 X264_ducks 0.0 0.0 0.0 36.9 0.0 0.0 100.0 13.1 47.24 0.69 4.83 4.48
21 X264_native 0.0 0.0 0.69 71.03 0.34 0.69 100.0 13.45 44.48 0.0 7.59 6.21
22 AVERAGE 0.0 0.0 24.25 50.51 9.66 18.23 62.96 13.38 44.76 19.47 10.9 5.5
