0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 8.60993 0.05763 6.43188 0.02 5.82472 0.450935
2 BFS 0 8.19672 7.24761 10.0009 0.021837 6.37354 0.583634
3 BLACKSCHOLES_10M 0 6.25077 11.7243 8.07751 7.15079 5.96156 0.40675
4 BODYTRACK 0 5.86191 11.3111 11.4161 5.83164 6.19888 0.313817
5 FACESIM 0 4.92655 0.053608 5.89991 2.35476 6.12087 0.315339
6 FERRET 0 3.88996 7.49496 7.49694 4.17516 6.17836 0.374388
7 HEARTWALL 0 4.92657 9.33621 7.8561 5.16571 5.96215 0.319102
8 HOTSPOT 0 7.36822 10.2151 12.8287 0.0313974 6.29702 0.555267
9 JACOBI 0 32.5404 0.0314078 3.91656 12.8703 6.06837 0.447706
10 KMEANS 0 4.2374 10.5857 8.39322 6.95701 6.04499 0.383571
11 KMEANSNF 0 3.00653 15.2383 5.46704 6.01956 5.69208 0.448332
12 LAVAMD 0 5.53054 0.05796 6.00081 5.19288 5.75801 0.52295
13 LEUKOCYTE 0 4.85808 0.0532836 5.92791 0.704266 5.95204 0.474264
14 LUD 0 13.448 2.51215 7.79786 51.6067 6.59586 1.45177
15 NW 0 6.31887 0.059432 8.28159 0.0204652 5.85995 0.299849
16 SHA 0 5.51291 14.8345 14.4764 0.0612928 5.65334 0.330458
17 SRAD 0 16.2888 0.0534892 5.54374 2.58626 6.24872 0.611097
18 STREAM 0 6.57682 0.0342556 2.98037 18.4124 7.47237 0.970701
19 STREAM_threads 0 22.5788 0.0308622 4.80496 18.8334 6.35037 0.776783
20 X264_ducks 0 4.05536 5.16599 6.87619 3.8519 5.65135 0.398617
21 X264_native 0 4.39167 6.255 7.26453 3.80292 5.64931 0.378092
22 AVERAGE 0 8.1534 5.10695 7.16996 7.07594 5.81427 0.491519
