0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 3.83 9.81 26.82 19.82 8.68 41.37 41.54 15.04 8.06 11.75 8.4
2 BFS 0.0 1.85 0.0 19.7 8.61 0.0 39.18 39.18 9.6 0.0 6.02 5.2
3 BLACKSCHOLES_10M 0.0 1.45 66.1 62.94 80.18 66.1 72.44 72.44 50.24 72.16 52.21 12.99
4 BODYTRACK 0.0 12.75 3.38 0.0 46.69 3.63 26.06 26.06 12.92 24.49 3.86 5.12
5 FACESIM 0.0 3.28 9.14 9.01 56.16 12.69 25.17 25.26 14.55 25.01 6.26 5.8
6 FERRET 0.0 5.11 13.14 0.0 40.6 4.81 20.24 20.2 9.35 19.44 3.35 3.71
7 HEARTWALL 0.0 17.35 21.52 7.81 49.5 17.11 31.14 31.15 9.3 30.0 6.21 4.94
8 HOTSPOT 0.0 3.36 0.0 14.41 3.23 0.0 34.67 34.68 7.3 0.15 4.82 4.98
9 JACOBI 0.0 17.66 30.94 35.15 18.29 18.3 24.17 27.89 17.21 48.61 11.39 14.44
10 KMEANS 0.0 0.0 10.8 0.0 41.07 0.0 18.58 18.59 12.66 17.95 7.33 2.53
11 KMEANSNF 0.0 16.77 26.45 36.15 68.7 19.95 24.79 25.09 11.87 27.23 20.47 8.28
12 LAVAMD 0.0 3.83 75.56 80.05 20.62 20.67 84.98 84.99 47.72 84.91 34.86 34.83
13 LEUKOCYTE 0.0 16.98 16.56 39.43 16.56 16.57 50.76 52.15 14.64 49.87 12.9 12.63
14 LUD 0.0 9.29 0.0 4.56 92.32 26.02 21.94 93.5 9.66 0.0 2.54 17.1
15 NW 0.0 22.24 0.96 17.83 10.92 10.92 40.83 40.84 11.58 2.06 7.75 7.0
16 SHA 0.0 15.98 4.85 4.18 46.76 7.74 30.38 30.37 10.67 1.26 4.5 5.01
17 SRAD 0.0 7.06 22.63 6.64 8.21 8.21 20.07 20.25 12.38 10.38 5.97 10.14
18 STREAM 0.0 0.0 0.08 31.49 18.78 6.67 27.84 32.12 14.28 0.54 12.85 14.42
19 STREAM_threads 0.0 0.79 33.28 47.13 100.0 0.19 34.09 40.25 16.22 14.11 100.0 17.27
20 X264_ducks 0.0 4.53 16.89 0.0 42.11 9.59 18.81 18.85 12.67 18.12 4.56 4.11
21 X264_native 0.0 6.84 11.66 0.0 42.11 6.35 19.56 19.57 8.32 18.72 7.99 3.45
22 AVERAGE 0.0 8.14 17.8 21.11 39.58 12.58 33.67 37.86 15.63 22.53 15.6 9.64
