0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 0.0 100.0 17.24 0.0 0.0 19.31 22.41 45.86 50.69 8.28 7.24
2 BFS 0.0 0.0 27.24 99.66 0.0 27.24 16.55 17.59 44.48 0.0 7.59 6.21
3 BLACKSCHOLES_10M 0.0 0.0 2.07 100.0 0.0 1.38 35.52 20.34 43.79 0.0 5.17 5.17
4 BODYTRACK 0.0 0.0 1.38 100.0 0.34 98.62 37.59 15.52 44.48 0.0 6.55 4.48
5 FACESIM 0.0 0.0 0.34 14.48 0.0 0.0 17.59 7.93 44.48 1.72 8.62 7.24
6 FERRET 0.0 0.0 0.0 95.86 0.0 0.34 38.28 21.38 43.79 0.34 5.86 4.48
7 HEARTWALL 0.0 0.0 0.0 100.0 0.0 0.0 39.66 21.03 44.48 0.0 6.21 5.52
8 HOTSPOT 0.0 0.0 6.21 100.0 0.34 100.0 17.93 18.62 47.93 0.0 8.62 7.59
9 JACOBI 0.0 0.0 100.0 20.34 0.0 0.0 47.59 14.83 43.45 33.1 8.62 7.24
10 KMEANS 0.0 0.0 0.0 100.0 0.0 0.69 74.83 18.97 43.1 0.34 6.21 4.48
11 KMEANSNF 0.0 0.0 0.34 100.0 0.0 0.0 49.31 7.59 44.83 39.66 5.52 5.17
12 LAVAMD 0.0 0.0 100.0 63.45 0.0 0.0 30.69 10.34 45.17 1.72 5.86 6.9
13 LEUKOCYTE 0.0 0.0 0.0 14.14 0.0 0.0 32.76 8.28 43.45 0.0 5.52 5.86
14 LUD 0.0 0.0 100.0 26.55 100.0 0.0 100.0 7.93 45.86 100.0 6.55 5.86
15 NW 0.0 0.0 15.86 17.59 0.0 0.0 14.48 11.72 47.24 0.34 8.28 5.86
16 SHA 0.0 0.0 0.34 100.0 0.0 100.0 21.38 13.79 42.41 0.0 6.9 3.79
17 SRAD 0.0 0.0 100.0 15.52 0.0 0.0 36.9 6.55 42.76 21.38 6.21 7.24
18 STREAM 0.0 0.0 0.0 19.31 0.0 0.0 38.97 35.17 45.17 1.03 12.76 12.41
19 STREAM_threads 0.0 0.0 100.0 20.69 100.0 0.0 48.28 23.45 46.21 100.0 100.0 7.93
20 X264_ducks 0.0 0.0 0.0 71.03 0.0 0.0 50.0 17.93 43.79 0.34 6.21 3.1
21 X264_native 0.0 0.0 0.34 89.31 0.0 0.34 46.21 24.14 46.55 0.0 5.17 4.14
22 AVERAGE 0.0 0.0 31.15 61.2 9.56 15.65 38.75 16.45 44.73 16.7 11.46 6.09
