0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 0.95 0.0 31.38 6.7 6.7 43.38 43.4 18.83 0.0 6.04 4.97
2 BFS 0.0 5.49 4.07 14.82 33.49 20.67 33.52 33.52 12.43 4.34 15.79 4.53
3 BLACKSCHOLES_10M 0.0 0.0 0.0 0.0 12.14 0.0 0.0 0.0 0.0 6.58 9.28 0.0
4 BODYTRACK 0.0 0.0 6.49 0.0 35.94 0.0 4.58 4.59 5.23 31.47 26.11 23.55
5 FACESIM 0.0 0.0 0.0 0.0 44.56 0.0 10.36 10.36 0.0 39.32 41.8 2.91
6 FERRET 0.0 0.0 14.94 0.0 25.97 0.0 4.99 5.0 0.0 21.12 22.0 12.29
7 HEARTWALL 0.0 0.0 7.13 0.0 26.86 0.0 4.84 4.85 0.0 22.28 19.59 1.94
8 HOTSPOT 0.0 23.63 2.68 13.34 27.48 13.34 27.1 27.1 11.5 2.5 15.88 2.6
9 JACOBI 0.0 9.69 8.85 45.48 9.67 9.67 57.26 57.79 25.26 29.14 9.52 9.94
10 KMEANS 0.0 0.0 10.47 0.0 17.77 0.0 0.0 0.0 0.0 11.56 12.67 11.57
11 KMEANSNF 0.0 0.0 58.25 1.82 58.25 37.05 39.17 40.1 4.22 54.54 53.55 9.22
12 LAVAMD 0.0 36.13 62.5 68.95 82.49 68.16 75.63 75.63 55.23 78.16 81.22 54.32
13 LEUKOCYTE 0.0 1.99 51.82 51.82 70.58 51.83 63.5 63.5 19.17 56.12 36.57 13.04
14 LUD 0.0 0.0 89.37 0.0 89.37 89.37 12.99 91.01 0.0 0.0 0.0 14.29
15 NW 0.0 18.42 6.89 18.35 61.16 18.31 35.75 35.75 15.06 0.52 59.19 5.2
16 SHA 0.0 8.18 15.5 0.0 41.37 0.38 14.42 14.42 7.71 37.86 31.55 29.74
17 SRAD 0.0 6.54 6.4 14.26 69.22 26.08 30.03 50.19 6.84 24.71 15.92 32.71
18 STREAM 0.0 20.26 0.2 43.05 20.09 20.09 52.92 53.73 13.73 22.15 12.24 9.11
19 STREAM_threads 0.0 0.42 34.5 62.27 100.0 29.36 72.0 72.01 17.03 14.32 100.0 16.9
20 X264_ducks 0.0 0.0 10.33 0.0 17.2 0.0 2.32 2.33 0.0 11.85 12.99 0.0
21 X264_native 0.0 0.0 16.23 0.0 23.72 0.0 4.38 4.38 0.0 18.77 19.59 18.9
22 AVERAGE 0.0 6.27 19.36 17.41 41.62 18.62 28.05 32.84 10.11 23.2 28.64 13.23
