0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 0.0 44.48 12.07 0.34 1.03 7.24 19.31 43.45 0.0 6.21 5.52
2 BFS 0.0 0.0 3.1 88.62 0.0 96.9 12.07 14.48 43.45 0.34 7.24 6.21
3 BLACKSCHOLES_10M 0.0 0.0 0.34 45.52 0.34 0.34 100.0 10.69 47.93 2.41 7.93 2.76
4 BODYTRACK 0.0 0.0 0.0 57.93 0.0 0.0 100.0 11.03 44.48 0.0 7.93 5.86
5 FACESIM 0.0 0.0 0.0 14.14 0.0 0.0 100.0 8.97 43.79 0.0 6.21 4.83
6 FERRET 0.0 0.0 1.38 19.31 1.38 1.03 100.0 9.66 48.97 0.0 7.93 5.86
7 HEARTWALL 0.0 0.0 0.69 17.93 0.34 0.34 100.0 11.03 42.07 0.34 4.14 3.1
8 HOTSPOT 0.0 0.0 0.0 94.83 0.0 99.66 24.48 14.14 47.24 0.34 4.48 3.45
9 JACOBI 0.0 0.0 4.48 15.52 0.69 0.69 74.83 16.9 44.14 4.14 6.55 5.86
10 KMEANS 0.0 0.0 0.69 55.17 0.69 0.34 100.0 10.0 50.34 0.0 6.21 4.83
11 KMEANSNF 0.0 0.0 53.1 14.48 53.1 0.69 100.0 5.52 45.17 7.93 5.52 4.48
12 LAVAMD 0.0 0.0 100.0 11.72 0.0 0.69 87.93 16.21 46.55 40.34 6.21 5.17
13 LEUKOCYTE 0.0 0.0 0.69 12.07 0.34 0.34 10.34 12.76 39.66 1.03 5.17 4.48
14 LUD 0.0 0.0 100.0 12.76 100.0 100.0 100.0 6.21 47.24 100.0 3.45 4.14
15 NW 0.0 0.0 0.34 14.14 0.0 2.07 99.31 14.48 45.17 0.0 5.17 3.45
16 SHA 0.0 0.0 0.69 98.28 0.69 1.03 100.0 11.72 45.86 1.03 6.9 5.52
17 SRAD 0.0 0.0 42.41 16.55 7.59 7.59 100.0 5.86 42.76 0.0 7.93 7.59
18 STREAM 0.0 0.0 100.0 13.45 0.0 0.0 26.55 15.86 40.69 100.0 6.21 7.24
19 STREAM_threads 0.0 0.0 100.0 15.17 100.0 0.0 24.48 17.59 45.17 100.0 100.0 5.52
20 X264_ducks 0.0 0.0 1.38 15.17 1.38 0.34 100.0 8.97 48.62 1.03 8.62 7.59
21 X264_native 0.0 0.0 0.69 14.14 0.69 0.34 100.0 10.0 47.93 0.34 5.86 3.45
22 AVERAGE 0.0 0.0 26.4 31.38 12.74 14.93 74.63 11.97 45.27 17.11 10.76 5.09
