0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 5.11229 8.81524 8.86774 8.08852 9.00887 2.73811
2 BFS 0 5.06209 0 0 0 7.16374 1.14674
3 BLACKSCHOLES_10M 0 58.7959 53.3078 57.9505 58.507 40.6925 5.64492
4 BODYTRACK 0 8.88574 0 1.70702 2.46779 8.10548 1.51518
5 FACESIM 0 14.8904 6.65476 14.9753 16.1124 8.88332 2.55235
6 FERRET 0 13.5397 0 4.97193 6.72597 7.05545 1.54517
7 HEARTWALL 0 15.7375 1.01295 11.895 14.5475 4.22955 1.44038
8 HOTSPOT 0 1.8497 0 0 0.884445 6.30067 1.33497
9 JACOBI 0 17.328 29.3223 3.13909 21.9686 5.2815 5.51599
10 KMEANS 0 19.2472 0 2.43375 4.5126 9.41818 1.53652
11 KMEANSNF 0 48.0009 7.50306 16.7056 21.1793 3.11943 3.43265
12 LAVAMD 0 70.2532 75.6478 75.8142 67.5644 46.2521 15.701
13 LEUKOCYTE 0 0.760745 38.3527 38.9383 22.366 12.0824 4.81732
14 LUD 0 91.4704 0 32.9049 77.3155 4.92507 3.61977
15 NW 0 1.05226 0 7.97208 6.08095 9.54438 1.70607
16 SHA 0 15.168 0 0 0.209176 9.9431 1.16993
17 SRAD 0 21.8433 4.62969 20.9968 20.4658 10.867 3.99674
18 STREAM 0 1.45334 20.7904 11.7809 42.099 5.26804 5.69177
19 STREAM_threads 0 18.6529 41.6538 1.41133 37.3286 9.82444 8.13324
20 X264_ducks 0 15.9105 0 7.63398 10.1356 6.01509 1.7778
21 X264_native 0 14.1689 0 6.0384 7.30291 4.7586 1.33783
22 AVERAGE 1 20.872 13.0768 14.8244 20.2665 10.3972 3.47066
