0 Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
1 BACKPROP 0 15.504 18.2476 10.7968 10.3811 5.28033 3.83559
2 BFS 0 3.72758 0 4.04095 0.0122789 3.73298 2.08153
3 BLACKSCHOLES_10M 0 58.2725 54.6524 2.70329 62.2 21.1244 8.44251
4 BODYTRACK 0 14.5381 0 0 7.67765 5.35988 2.182
5 FACESIM 0 5.91325 5.20518 11.9106 5.54828 6.45475 3.45888
6 FERRET 0 14.4504 0 4.45933 12.1588 8.15934 2.33518
7 HEARTWALL 0 30.1568 19.0396 26.0522 32.7362 10.3123 3.16222
8 HOTSPOT 0 2.88461 0 3.75545 3.91851 3.56619 1.77141
9 JACOBI 0 16.5368 16.8562 3.546 24.7089 5.07263 5.86357
10 KMEANS 0 11.8575 0 0.756516 11.4191 7.59865 2.27174
11 KMEANSNF 0 25.6077 40.6109 22.4062 31.6097 6.7821 4.88936
12 LAVAMD 0 60.6715 70.7784 23.6731 12.0206 24.6635 19.4475
13 LEUKOCYTE 0 2.61833 25.15 2.816 21.191 8.85786 5.4125
14 LUD 0 8.94837 0 20.8858 79.2566 5.23823 4.17573
15 NW 0 3.2582 0.30232 1.74608 0.0438048 6.3035 2.63012
16 SHA 0 9.57034 0 0 3.51661 6.34481 1.49465
17 SRAD 0 33.1883 6.1025 21.5634 9.8712 7.2274 5.94103
18 STREAM 0 1.29407 11.3385 7.29817 33.7087 5.51157 6.07879
19 STREAM_threads 0 17.5428 29.3206 1.36946 24.6495 6.85533 8.70265
20 X264_ducks 0 11.4991 0 6.67265 12.5165 5.24029 2.75557
21 X264_native 0 10.0821 0 5.38117 12.4172 3.94908 2.71579
22 AVERAGE 1 16.2783 13.5275 8.26514 18.7074 7.43796 4.52947
