0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 0.0 100.0 16.55 1.72 0.0 24.48 17.59 44.14 10.34 10.0 8.62
2 BFS 0.0 0.0 1.03 98.28 0.69 45.17 15.86 16.55 45.17 0.69 9.31 8.62
3 BLACKSCHOLES_10M 0.0 0.0 0.34 100.0 0.0 1.03 97.93 16.9 43.45 0.0 4.48 3.79
4 BODYTRACK 0.0 0.0 0.34 100.0 0.34 1.38 24.83 13.1 45.86 22.41 5.86 5.17
5 FACESIM 0.0 0.0 0.34 14.48 0.0 0.34 31.03 8.28 42.41 0.0 7.59 5.17
6 FERRET 0.0 0.0 0.0 91.72 0.0 0.34 76.9 18.28 43.79 0.34 5.52 3.45
7 HEARTWALL 0.0 0.0 0.0 98.62 0.0 0.0 99.31 16.9 44.14 0.0 5.17 4.48
8 HOTSPOT 0.0 0.0 0.34 100.0 0.0 100.0 18.28 18.28 42.76 0.0 6.9 5.86
9 JACOBI 0.0 0.0 100.0 18.28 0.0 0.0 38.97 16.55 42.76 30.0 7.24 6.21
10 KMEANS 0.0 0.0 0.0 100.0 0.0 1.72 91.72 13.1 44.48 0.0 7.93 6.55
11 KMEANSNF 0.0 0.0 0.0 13.1 0.0 0.0 45.17 7.24 44.14 34.83 6.9 6.21
12 LAVAMD 0.0 0.0 100.0 34.48 0.34 25.52 19.31 12.76 44.83 1.72 4.48 5.17
13 LEUKOCYTE 0.0 0.0 0.0 12.76 0.0 0.0 26.9 8.62 45.86 5.86 5.17 5.17
14 LUD 0.0 0.0 100.0 20.34 100.0 0.0 100.0 6.21 46.21 100.0 5.52 3.45
15 NW 0.0 0.0 8.28 14.14 0.69 0.69 19.31 12.76 41.03 0.0 5.17 2.07
16 SHA 0.0 0.0 0.69 100.0 0.0 49.31 12.41 15.52 44.83 0.0 5.86 3.79
17 SRAD 0.0 0.0 45.17 15.52 0.34 0.34 47.24 6.21 42.76 0.0 5.17 6.21
18 STREAM 0.0 0.0 0.34 18.62 0.34 0.0 34.14 32.41 41.38 1.03 10.69 10.69
19 STREAM_threads 0.0 0.0 100.0 17.93 100.0 0.34 40.69 21.72 43.1 100.0 100.0 9.31
20 X264_ducks 0.0 0.0 0.0 53.45 0.0 0.0 34.83 16.55 46.55 0.69 5.52 3.79
21 X264_native 0.0 0.0 0.69 80.34 0.34 0.69 91.03 16.55 43.1 0.0 8.28 7.24
22 AVERAGE 0.0 0.0 26.55 53.27 9.75 10.8 47.16 14.86 43.94 14.66 11.08 5.76
