0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 22.55 0.0 29.45 27.68 15.52 27.93 27.93 16.9 10.14 15.24 2.54
2 BFS 0.0 3.64 0.0 21.7 20.55 21.7 21.59 21.59 10.83 0.0 17.04 3.55
3 BLACKSCHOLES_10M 0.0 0.0 5.33 0.0 5.33 5.35 0.0 0.0 0.0 0.33 5.22 0.24
4 BODYTRACK 0.0 0.0 7.45 0.0 18.93 18.93 0.0 0.0 0.0 14.22 7.02 4.39
5 FACESIM 0.0 0.0 26.99 7.48 40.26 7.48 4.47 4.46 0.0 34.64 37.63 0.0
6 FERRET 0.0 4.9 23.85 4.69 23.85 23.85 3.74 3.74 0.08 19.83 21.85 10.74
7 HEARTWALL 0.0 3.2 23.61 3.03 23.61 23.61 2.07 2.07 0.0 19.5 16.88 0.42
8 HOTSPOT 0.0 8.0 0.0 12.33 11.66 12.35 12.28 12.28 13.61 1.42 11.15 0.32
9 JACOBI 0.0 0.0 0.0 37.49 62.77 29.7 31.57 32.05 0.0 47.79 0.0 0.0
10 KMEANS 0.0 0.0 15.94 0.0 15.94 15.94 0.0 0.0 1.19 11.22 12.85 11.36
11 KMEANSNF 0.0 0.0 48.62 30.58 48.62 48.62 30.67 30.68 0.0 44.75 48.61 0.0
12 LAVAMD 0.0 17.35 0.0 17.17 38.4 9.18 15.83 15.83 0.0 25.06 36.66 4.85
13 LEUKOCYTE 0.0 0.0 54.74 57.37 64.19 57.32 55.95 55.95 20.26 51.4 29.86 60.06
14 LUD 0.0 0.23 88.63 9.58 88.63 88.63 7.53 90.36 0.0 0.0 0.0 8.7
15 NW 0.0 14.44 8.39 14.36 46.31 14.37 13.72 13.73 5.02 0.0 45.04 1.42
16 SHA 0.0 10.97 31.93 1.76 31.85 31.85 1.67 1.67 0.0 28.48 20.86 19.28
17 SRAD 0.0 17.6 12.66 31.26 68.7 68.7 29.24 49.2 17.19 23.23 22.02 31.46
18 STREAM 0.0 2.31 0.0 51.55 12.92 12.93 48.39 48.54 18.76 16.1 10.69 7.08
19 STREAM_threads 0.0 0.0 31.36 73.41 100.0 25.73 73.43 73.43 15.45 10.35 100.0 26.19
20 X264_ducks 0.0 0.0 5.28 0.0 5.28 5.28 0.0 0.0 0.0 0.0 5.35 0.0
21 X264_native 0.0 0.0 21.46 4.27 21.46 21.46 2.89 2.89 3.01 17.24 19.42 17.2
22 AVERAGE 0.0 5.01 19.34 19.4 37.0 26.6 18.24 23.16 5.82 17.89 23.02 9.99
