0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 2.17 0.0 31.04 13.18 7.8 45.71 45.92 12.35 0.0 10.13 6.01
2 BFS 0.0 18.41 3.48 13.25 37.26 13.2 34.94 34.94 12.01 3.33 6.46 4.55
3 BLACKSCHOLES_10M 0.0 11.13 15.77 4.72 47.2 11.07 27.54 27.55 14.7 42.56 39.69 2.71
4 BODYTRACK 0.0 0.0 11.39 0.0 44.54 0.0 16.41 16.42 12.91 39.34 31.67 2.65
5 FACESIM 0.0 0.0 0.08 0.0 52.76 0.07 22.07 22.07 4.32 46.48 46.98 1.99
6 FERRET 0.0 0.0 15.02 0.0 32.03 0.0 11.82 11.82 1.73 25.93 3.3 0.0
7 HEARTWALL 0.0 0.0 1.76 0.0 35.59 0.0 15.28 15.28 1.82 29.84 9.01 1.99
8 HOTSPOT 0.0 20.55 1.73 12.17 31.98 12.17 29.8 29.8 10.44 0.0 8.72 4.07
9 JACOBI 0.0 13.37 28.07 44.1 14.52 14.53 57.41 58.34 21.56 41.93 10.93 11.36
10 KMEANS 0.0 0.0 0.0 0.0 26.63 0.0 0.0 0.0 0.0 19.11 0.0 0.0
11 KMEANSNF 0.0 2.8 54.22 2.39 61.95 10.63 43.55 44.96 9.34 58.19 49.48 5.4
12 LAVAMD 0.0 0.0 78.87 80.66 90.56 80.67 86.62 86.62 69.3 88.06 89.0 52.82
13 LEUKOCYTE 0.0 1.06 36.81 48.77 71.04 48.77 62.99 63.02 20.6 54.63 11.1 11.45
14 LUD 0.0 4.65 90.99 0.0 90.99 90.99 24.14 92.37 3.69 0.0 0.0 4.72
15 NW 0.0 1.03 0.89 16.32 64.29 16.32 40.1 40.1 15.16 0.26 17.67 4.87
16 SHA 0.0 9.08 16.28 0.0 46.46 3.95 21.13 21.05 9.18 42.31 5.79 3.24
17 SRAD 0.0 4.16 4.16 13.66 70.01 21.2 29.54 50.37 11.55 26.57 0.0 26.09
18 STREAM 0.0 0.0 0.58 39.64 19.35 19.36 49.94 51.56 16.52 19.74 11.66 11.23
19 STREAM_threads 0.0 0.19 34.0 57.68 100.0 28.99 70.88 71.22 18.81 14.94 100.0 15.74
20 X264_ducks 0.0 0.0 23.75 0.0 33.27 0.0 18.75 18.75 11.89 27.27 9.47 0.0
21 X264_native 0.0 0.0 7.78 0.0 31.3 0.0 12.88 12.89 1.15 25.44 4.18 0.0
22 AVERAGE 0.0 4.22 20.27 17.35 48.33 18.08 34.36 38.81 13.29 28.85 22.15 8.14
