Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL  CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0.0315789 0.905263 0.0263158 0.0315789 0.0263158 0.289474 0.0368421 0.0368421 1 0.0473684
bfs 0 0 0.0157895 1 0.0157895 0.0210526 0.00526316 0.5 0.0526316 0.0210526 1 0.0578947
filebound 0 0 0.0263158 0.721053 0.0263158 0.0263158 0.0157895 0.0473684 0.0368421 0.0315789 1 0.0368421
Kmeansnf 0 0 1 1 1 0.0157895 1 1 0.178947 0.0263158 1 0.0263158
svmrfe 0 0 0.978947 0.0263158 0.0263158 0.0263158 0.0263158 0.105263 0.0421053 0.0421053 1 0.0631579
apr 0 0 0.542105 0.0263158 0.0210526 0.0210526 0.0473684 0.0421053 0.0368421 0.0526316 1 0.0368421
btree 0 0 0.0263158 0.552632 0.0263158 0.0315789 0.0263158 0.168421 0.0473684 0.0421053 1 0.0473684
lud 0 0 1 0.0263158 1 0.247368 1 0.5 0.226316 0.689474 1 0.0421053
nn 0 0 0.0421053 1 0.0210526 0.0263158 0.0105263 0.105263 0.0578947 0.0421053 1 0.0421053
particlefilter 0 0 0.0263158 0.0263158 0.0263158 0.0263158 0.0368421 0.0421053 0.0631579 0.0526316 1 0.0473684
PLSA 0 0 0.0105263 0.0105263 0.0105263 0.0105263 0.0157895 0.305263 0.236842 0.0210526 1 0.0631579
Scalparc 0 0 0.0157895 0.0210526 0.0157895 0.0157895 0.0263158 0.0315789 0.0947368 0.0473684 1 0.0315789
semphy 0 0 0.0210526 0.0368421 0.0210526 0.0315789 0.0157895 0.0736842 0.0578947 0.0421053 1 0.0421053
streamcluster 0 0 0.0315789 0.0315789 0.0315789 0.457895 0.0157895 0.478947 0.0947368 0.0421053 1 0.0421053
swaptions 0 0 0.0368421 0.0421053 0.0368421 0.0315789 0.0263158 0.194737 0.1 0.0526316 1 0.0526316
Swish 0 0 0.0421053 0.784211 0.0421053 0.0368421 0.0473684 0.0789474 0.0631579 0.0631579 1 0.0578947
vips 0 0 0.0105263 0.0105263 0.0210526 0.0210526 0.0736842 0.105263 0.0526316 0.0421053 1 0.0421053
x264 0 0 0.105263 0.0210526 0.0157895 0.0105263 0.0157895 0.0315789 0.0473684 0.0421053 1 0.0421053
blackscholes 0 0 0.0263158 0.0315789 0.0263158 0.0263158 0.0578947 0.0631579 0.0631579 0.0631579 1 0.0526316
bodytrack 0 0 0.0315789 0.0315789 0.0263158 0.0263158 0.0157895 0.105263 0.0736842 0.0526316 1 0.0473684
cfd 0 0 0.0210526 0.0263158 0.0263158 0.0210526 0.0210526 0.0368421 0.147368 0.0578947 1 0.0368421
fluidanimate 0 0 0.136842 0.0368421 0.0315789 0.0315789 0.0263158 0.0894737 0.0473684 0.0631579 1 0.0631579
HOP 0 0 0.0157895 0.0210526 0.0157895 0.0157895 0.0473684 0.0684211 0.121053 0.0631579 1 0.0631579
Jacobi 0 0 1 0.0157895 1 0.0157895 0.5 0.0631579 0.0526316 0.0578947 1 0.0526316
Kmeans 0 0 1 1 1 0.0210526 1 0.0526316 0.0473684 1 1 0.0473684
AVERAGE 0 0 0.247789 0.296211 0.180421 0.0498947 0.164 0.183158 0.0831579 0.109895 1 0.0473684
