Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL  CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0.0157895 0.0315789 0.0157895 0.0157895 0.0210526 0.0736842 0.0421053 0.0421053 1 0.0368421
bfs 0 0 0.0315789 0.994737 0.0368421 0.0315789 0.0421053 0.494737 0.0263158 0.0473684 1 0.0473684
filebound 0 0 0.0315789 0.0263158 0.0263158 0.0263158 0.0210526 0.0263158 0.0526316 0.0473684 1 0.0421053
Kmeansnf 0 0 1 1 0.0210526 0.0210526 1 1 0.0578947 0.0526316 1 0.0421053
svmrfe 0 0 0.126316 0.0315789 0.0315789 0.0315789 0.0368421 0.363158 0.0473684 0.0421053 1 0.0526316
apr 0 0 0.668421 0.0263158 0.0263158 0.0263158 0.0315789 0.163158 0.0842105 0.0473684 1 0.0526316
btree 0 0 0.0157895 0.0157895 0.0157895 0.0157895 0.0157895 0.0263158 0.0473684 0.0421053 1 0.0421053
lud 0 0 1 0.0210526 0.0157895 0.0210526 0.621053 0.5 0.494737 0.115789 1 0.0315789
nn 0 0 0.0315789 0.226316 0.0315789 0.0315789 0.0210526 0.184211 0.0631579 0.0315789 1 0.0421053
particlefilter 0 0 0.0368421 0.0368421 0.0368421 0.0368421 0.0368421 0.0421053 0.0736842 0.0736842 1 0.0526316
PLSA 0 0 0.0421053 0.0157895 0.0157895 0.0157895 0.0368421 0.336842 0.215789 0.0526316 1 0.0631579
Scalparc 0 0 0.0157895 0.0157895 0.0157895 0.0157895 0.0315789 0.0473684 0.152632 0.0210526 1 0.0526316
semphy 0 0 0.0368421 0.0368421 0.0368421 0.0368421 0.0210526 0.0421053 0.0473684 0.0315789 1 0.0736842
streamcluster 0 0 0.0263158 0.0263158 0.0263158 0.0263158 0.0368421 0.352632 0.168421 0.0631579 1 0.0631579
swaptions 0 0 0.0210526 0.0210526 0.0210526 0.0210526 0.0368421 0.0578947 0.0631579 0.0578947 1 0.0578947
Swish 0 0 0.0578947 0.0526316 0.0578947 0.0526316 0.0315789 0.0368421 0.0315789 0.0210526 1 0.0736842
vips 0 0 0.0368421 0.0368421 0.0368421 0.0421053 0.0421053 0.147368 0.0631579 0.0578947 1 0.0578947
x264 0 0 0.0315789 0.0315789 0.0315789 0.0315789 0.0315789 0.0684211 0.0789474 0.0473684 1 0.0421053
blackscholes 0 0 0.0368421 0.0473684 0.0368421 0.0368421 0.0263158 0.0368421 0.0631579 0.0578947 1 0.0421053
bodytrack 0 0 0.0315789 0.0315789 0.0368421 0.0368421 0.0263158 0.178947 0.0736842 0.0789474 1 0.0473684
cfd 0 0 0.0105263 0.0105263 0.0421053 0.0105263 0.0368421 0.0263158 0.121053 0.0578947 1 0.0578947
fluidanimate 0 0 0.126316 0.0368421 0.0263158 0.0263158 0.0263158 0.0263158 0.0315789 0.0526316 1 0.0526316
HOP 0 0 0.0105263 0.0105263 0.0105263 0.0105263 0.0315789 0.0578947 0.0684211 0.0210526 1 0.0368421
Jacobi 0 0 1 0.0263158 0.0210526 0.0210526 0.589474 0.0684211 0.0736842 0.0578947 1 0.0368421
Kmeans 0 0 1 0.994737 1 0.0105263 0.973684 0.0368421 0.0736842 1 1 0.0421053
AVERAGE 0 0 0.217684 0.152211 0.0669474 0.0261053 0.153053 0.175789 0.0926316 0.0888421 1 0.0496842
