Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL  CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
backprop 0 0 0.0157895 0.0157895 0.0157895 0.0157895 0.0157895 0.321053 0.0368421 0.0263158 1 0.0263158
bfs 0 0 0.0368421 0.0368421 0.0368421 0.0368421 0.0210526 0.5 0.0789474 0.0526316 1 0.0368421
filebound 0 0 0.0157895 0.0157895 0.0157895 0.0157895 0.00526316 0.0947368 0.0210526 0.0210526 1 0.0526316
Kmeansnf 0 0 1 1 1 0.0421053 1 1 0.184211 0.257895 1 0.0631579
svmrfe 0 0 0.0263158 0.0210526 0.0210526 0.0210526 0.594737 0.0421053 0.0368421 0.0315789 1 0.0315789
apr 0 0 0.173684 0.0263158 0.0263158 0.0263158 0.0421053 0.0473684 0.0736842 0.0263158 1 0.0263158
btree 0 0 0.0315789 0.0315789 0.0368421 0.0368421 0.0421053 0.368421 0.0578947 0.0473684 1 0.0473684
lud 0 0 1 1 1 0.0368421 1 0.210526 0.421053 1 1 0.0473684
nn 0 0 0.0526316 0.0210526 0.0210526 0.0210526 0.815789 0.0368421 0.0421053 0.0368421 1 0.0315789
particlefilter 0 0 0.0210526 0.0368421 0.0368421 0.0473684 0.0315789 0.0842105 0.0315789 0.0315789 1 0.0315789
PLSA 0 0 0.5 0.0210526 0.0263158 0.5 0.0473684 0.0631579 0.0894737 0.0736842 1 0.0526316
Scalparc 0 0 0.0157895 0.0157895 0.0157895 0.0157895 0.0210526 0.0578947 0.0210526 0.0473684 1 0.0263158
semphy 0 0 0.926316 0.0105263 0.0105263 0.0157895 0.0315789 0.157895 0.0473684 0.0368421 1 0.0368421
streamcluster 0 0 0.0263158 0.289474 1 0.289474 0.884211 0.394737 0.331579 0.0473684 1 0.0473684
swaptions 0 0 0.0210526 0.0210526 0.0210526 0.0210526 0.0315789 0.0315789 0.0315789 0.0315789 1 0.0315789
Swish 0 0 0.0263158 0.0263158 0.0210526 0.0210526 0.0105263 0.0578947 0.0421053 0.0421053 1 0.0473684
vips 0 0 0.0315789 0.0315789 0.0421053 0.0421053 0.0421053 0.263158 0.0578947 0.0578947 1 0.0578947
x264 0 0 0.0315789 0.0315789 0.0315789 0.0315789 0.0578947 0.0473684 0.0631579 0.0736842 1 0.0473684
blackscholes 0 0 0.0421053 0.0315789 0.0315789 0.0315789 0.0368421 0.0157895 0.136842 0.0684211 1 0.0684211
bodytrack 0 0 0.0315789 0.0368421 0.0315789 0.0368421 0.0368421 0.0368421 0.0947368 0.0578947 1 0.0736842
cfd 0 0 0.384211 0.0105263 0.0263158 0.0315789 0.0315789 0.0526316 0.0684211 0.0421053 1 0.0421053
fluidanimate 0 0 0.163158 0.0315789 0.0315789 0.131579 0.0263158 0.115789 0.0894737 0.0789474 1 0.0631579
HOP 0 0 0.0789474 0.0421053 0.0368421 0.0421053 0.0263158 0.0894737 0.0894737 0.0473684 1 0.0473684
Jacobi 0 0 1 0.0105263 1 0.0105263 0.321053 0.168421 0.0421053 0.994737 1 0.0315789
Kmeans 0 0 1 1 1 0.0368421 1 1 0.1 1 1 0.0526316
AVERAGE 0 0 0.266105 0.152632 0.221474 0.0623158 0.246947 0.210316 0.091579 0.169263 1 0.0448421
